stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,gut,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,35.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0.83,0
 24-34,0,0,0,0.69,0,0,0,0,1.66,0,0,0,0,0,6.78,0,0,0.87,0,11.18,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,21.09,0,10.79,0,0,0,0,37.64,0
 48-58,0,0,0,0,0,0,0,0,0.7,0,0,0.9,0.52,0,6.45,0,0,0.74,0,42.52,0
 60-70,0,10.54,0,0,0,0,0,0,9.54,0,0,1.45,7.77,4.27,22.77,0,0,0,0,88.74,1.53
 72-82,0,2.49,0,0,0.59,0,4.29,8.91,1.36,0,0,1.1,2.77,0,11.21,0.61,1.28,5.58,3.71,122.14,7.65
 84-94,0,5.33,0,0,0,0,0.71,31.87,0,0,3.5,0,1.9,0,6.96,0,0,0,7.66,78.54,10.61
 96-106,0,1.88,0,0,0,0,0,17.3,1.71,0,0,7.84,5.16,0,17.83,3.48,0.61,0,5.75,89.12,6.39
108-118,0,3.31,0,0,0,0,9.6,47.25,5.7,1.77,3.48,1.99,0,0,19.04,0.55,0.75,0,0,85.42,13.2
120,0,8.73,1.66,0,0,1.06,7.31,235.46,18.25,0,23.25,12.36,10.49,0,81.9,1.67,1.26,0,0,277.13,6.47
