stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,6.63,0,0,0,0,0,5.03,0,0,0,0,0
 24-34,0.68,2.78,0,0,4.75,0,0.74,0,0,0,0,0,0,0,4.98,0,0,0,116.58,0,1.44,0,0.65,0.88,8.98,0,0,0,0,0
 36-46,0,0,0,0,22.23,0,0,6.27,0,0,0,0,0,0,5.03,0,0,0,290.09,0,0,0,0,0,66.75,0,0,0,0,0
 48-58,0,1.04,0,0,45.7,1.02,0.43,10.33,0.75,0,0,0.45,0.65,0,24.83,0,0,5.71,512.53,0.42,1.62,0,0,0,58.06,0,0,0,0,0.63
 60-70,0,3.58,0,0,48.25,0,0,9.68,0,0,0,0,0,0,41.13,0,0,0.72,756.57,7.52,0,0,0,0,60.17,0,0,0,0,0
 72-82,0,18.82,2.7,0,39.56,0,1.91,13.19,0,1.75,0,0,2.7,0,50.87,0,0,0,673.97,0,2.53,0,0,0,35.18,0,1.63,0,0.64,0
 84-94,0,0.66,0,3.04,74.8,0,0.77,10.89,0,0,0.7,0,0,0,25.69,0,0,1.48,455.81,0,4.15,0,0,0,52.83,0,1.79,0,4.2,0
 96-106,0,6.74,10.01,0,32.27,0,2.52,12.51,0,0,0,0,0,0,48.64,0,0,2.2,424.42,0,1.35,2.27,0,0,12.3,2.03,0,0.71,0,0
108-118,0,7.91,1.52,0,34.41,0,2.54,18.02,0,0,4.33,0.74,0,0.95,31.55,1.14,1.62,1.43,461.75,0,0.44,0.47,0.81,0,4.75,0,0,0,0,0
120,0,6.39,0,0,96.94,0,0,18.04,0,1.17,0,3.12,3.84,0,40.62,0,0,2.23,720.28,0,3.85,0,0,0,13.59,1.47,0,0,0,0
