stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,27.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.38,79.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.1,0,21.18,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,60.12,6.09,0,0,15.98,0,5.15,0,0,0,0,0,0,0
 10-12,0,0,11.65,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,101.46,0,0,0,51.38,0,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,11.71,2.09,0,0,0,0,0,1.1,0,0,0,2.07,0,0.93,4.39,0.84,34.15,0.99,0,0,0,2.7,0,2.59,0,3.88,1.67,9.81,0,0
 24-34,0,0,0,0.61,0,0,0.81,0,0,0,0.75,0,0,0,0,0,0,0,1.78,40.05,0,0,0,0,0,0,0,0,0,0,12.81,0,0
 36-46,0,0,0,17.07,0,0,6.79,0,5.32,0,2.39,0,0,0,0,0,0,8.06,0.73,69.05,0,1.95,0,0,2.55,0,0,0,0,0,11.5,1.37,0
 48-58,0,0,0,18.14,0,0,12.07,0.86,0,0,0,0,0,0,5.29,0,0,9.9,0,74.93,0,0,0,0,6.9,0,0,0,0,0,1.97,0,0
 60-70,0,0,0,0.6,0,0,98.88,0,0,0,0.93,0,0,7.46,0,0,0,0.69,1.13,25.42,0,0,0,0,0,0,0,0,0,0,0.8,0,0
 72-82,0,0,0,0,0,0,117.96,0,0,4.03,1.6,0.94,0,1.07,0,0,0,6.58,0,31.82,0,0,0,0,5.06,0,0,0,0,0,0.6,0,3.41
 84-94,0,0,0,0,0,0,186.47,0,0,0,0,0,0,0,2.45,0.62,0,1.53,0.79,39.16,0,1.11,0.84,0,2.27,0,0,0,0,0,0,0,0
 96-106,0,0,0,27.69,0,0,156.22,0,0,2.85,0.76,0,0,0.95,0,0,6.02,1.42,0,45.68,0,0,0,0,4.78,0,0,0,0,0,6.52,0,0
108-118,0,0,4.81,58.75,2.41,0.5,151.04,0,0,0,5.37,0,0.92,0,0,0,1.56,2.8,0,54.61,0,0,0,0,6.93,0,0,0,0,0,0,0,0
120,0,0,0,2.05,0,0,183.48,0,0,0,0,0,0,0,0,0,12.94,1.73,3.21,121.4,0,0,0,0,1.04,0,0,0,0,0,0,0,0
