stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,24.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.74,0,0,3.23,0,0,0
 10-12,0,0,3.13,0,0,0,21.47,0,0,0,0,0,0
 14-21,0,0,0,2.69,0,0,1.24,0,0,0,0,1.98,3.75
 24-34,0,0.7,0,4.68,1.29,0.65,2.39,0,0,0,1.96,0,5.21
 36-46,0,0,0,1.67,0,0,2.44,0,0,0,0,0,2.75
 48-58,0,0,0.97,1.41,0,0.52,2.56,0,0,0,0,0.56,0.38
 60-70,0,0,0.61,6.51,0.6,0,3.6,0,0,0,0,0,1.9
 72-82,0,0,0,0,0,0,3.11,0,0,0,0,0,0.97
 84-94,0,0,5.3,7.47,0,0,0.78,0,0,0,0,0,0
108-118,0,0,8.22,0,2.38,0,0,0,2.15,0,0,0,0
120,0,0,0,8.44,0,0,0,7.96,0,0,0,0,0
