stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,57.84,821.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.41,274.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.31,9.03,0,0,13.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.14,0,0,0,14.75,0,0,0,0,0,0,0,0
 14-21,0,0,4.14,0,0,2.18,0,0,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,24.9,0,4.87,0,0,0,0,10.96,0,0,0,0,0
 24-34,0,0,0.84,0,0,8.13,0,0,0,1.08,0,6.49,0,0,0,0,0,0,4.75,0,0,0,285.42,0,48.87,0,0,0,1.73,66.74,0,0,5.34,0,0
 36-46,0,0,0,0.92,0,5.27,0,0,0.63,1.49,0,0,0,0,0,0,0,0,1.64,0,2.04,4.16,741.39,0,72,0,0,2.11,0,61.02,0,0,0,0,1.64
 48-58,0,0,0,6.02,0,65.91,0,0,0,6.45,0,0,0,0,10.22,0,0,1.91,15.87,0,1.25,0,1090.48,0,44.09,0,0,2.1,0,56.29,0,0,0,0,8.88
 60-70,0,0,0,8.54,0,180.81,0,4.13,0,6.07,4.11,3,0,0,0,0,7.45,0,4.13,0,0,10.64,1902.11,5.53,38.51,0,0,2.64,0,96.91,0,0,2.92,0,0
 72-82,0,0,0.87,6.18,2.7,383.5,0,0.63,5.21,16.35,0.99,1.35,2.72,0,0,0,0,0,16.65,0,0,0.58,1998.83,0,97.56,0.84,0,0,0,103.81,0,1.23,11.29,0.64,6.91
 84-94,0,0,0,5.28,0,276.49,0.68,0,0,28.82,4.17,0,1.16,0,0,0,0,0,12.68,0,2.23,1.33,1312.96,0,79.97,0,0,6.08,0,93.28,0,0,0.97,2.65,0
 96-106,2.68,0,3.92,5.41,0,390.05,0.86,0,0,24.15,7.47,0,0,0,0,0,0,0,17.29,0,0,0.96,1179.59,0,69.24,1.52,0,7.24,0,38.21,1.82,0,1.45,2.21,4.23
108-118,0,0,2.2,8.28,0,323.7,0.56,0.43,0.65,37.14,6.99,0.44,1.08,0.86,0,3.92,5.97,0,19.47,0.54,0,0,1500.74,0,72.13,0,0,1.74,0,24.61,1.17,0,2.14,1.03,4.31
120,0,0,4.31,21.95,0,208.02,0,0,0,95.96,0,0,1.43,0,6.33,0,9.76,0,27.9,0,0,1.41,2588.72,0,162.31,0,0,1.54,0,43.99,0,0,0,0,0
