stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,766.97,19165.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.03,0,0,0,0,0,0,0,0,0,0
  5-6,957.94,20272.68,0,0,0,0,0,0,0,0,0,0,0,69.5,0,0,0,0,0,0,0,0,0,0,873.77,129.11,0,0,289.88,0,212.61,0,0,0,0,0,0,0,0,0,0
  7-9,446.8,1611.35,0,854.89,0,0,0,18881.41,0,0,0,0,0,221.57,0,0,0,0,0,0,0,0,0,0,43256.71,1736.42,0,0,19352.13,0,29.37,129.08,0,23.1,0,0,0,0,0,0,0
 10-12,11.5,722.47,0,835.11,0,0,0,8761.57,0,0,0,0,0,34.6,0,0,0,0,0,0,0,0,0,0,25983.55,651.9,0,0,15437.87,0,34.01,5.85,4.61,175.99,0,19.95,5.32,0,0,0,0
 14-21,0.89,0,0,342.28,6812.77,104.11,0,88.99,0,6.21,0,30.97,44.57,38.74,0,13.78,0,1.86,1.88,0,673.73,13.05,0,1153.74,1175.74,155.75,0,0,3891.73,0,8.82,24.67,3685.23,59.76,3.72,1912.23,795.38,0,16.72,0,0
 24-34,0,0,5.4,9.63,2590.3,5.36,0,167.63,0,26.49,13.75,25.36,21.55,1.46,0,1.22,0,14.99,0,0.62,492.16,26.35,0,447.22,530.81,184.18,29.94,1.52,0,0,81.12,0,2.8,1.74,0,180.12,290.45,0,14.56,0,0
 36-46,0,0,0,0,1186.89,0,0,177.93,0,72.06,32.91,57.88,1.85,0,0,20.68,3.78,16.36,0,0,592.52,7.94,0,126.67,332.7,146.55,0,1.43,0,1.69,57.65,1.3,0,0,0.62,0,194.15,0,3.44,0,0
 48-58,0,0,0.61,0,1006.18,0,0,221.65,0,86.14,152.88,117.93,9.76,0,0,0,7.56,27.99,5.12,14.36,578.61,12.65,3.63,122.13,321.33,144.65,0,2.23,0,0,17.51,0,0,0.79,0.44,0,211.71,0.85,5.37,1.8,5.92
 60-70,0,0,0,0,524.16,0,0,90.82,3.61,180.87,16.49,794.47,18.24,0,0.92,6.7,30.57,77.89,5.77,0,283.15,0,1.6,37.96,268.88,30.76,1.17,15.19,0,0,1.49,0,0,0,0,0,93.13,0,3.25,11.53,0
 72-82,0,0,0,0,317.15,0,1.16,152.26,7.64,17.32,9.11,739.3,5.55,0,0.61,0,0,7.03,0,0,337.69,3.65,0,60.81,328.31,10.07,0,7.85,0,0,4,0,0,0,0,0,39.62,2.92,4,15.53,0
 84-94,0,0,0,0,460.56,9.13,0,220.88,0,27.87,27.9,524.22,26.71,0,0,0,3.31,18.03,0,0,242.78,2.48,11.08,33.09,143.7,4.62,0,11.56,0,0,16.92,0,0,0,0,0,34,1.31,5.95,4.62,0
 96-106,0,0,0,0,635.76,21.82,0.63,196.14,0,276.15,89.16,816.63,27.19,0,4.26,0,2.5,6.82,10.62,2.34,456.67,8.13,0,112.94,266.17,4.74,43.05,4.97,0,0,16.14,0,0,0,0,0,8.52,4.26,9.94,0.61,0
108-118,0,0,0,0,298.13,1.42,1.02,162.83,0,17.27,15.82,693.75,17.69,0,6.72,0,0,2.13,0,0.68,155.55,3,5.13,12.74,203.69,2.84,13.96,0.66,0,0,10.9,0,0,0.87,0,0,20.41,1.57,11.13,24.12,0
120,0,0,0,0,218.82,0,0,275.94,0,25.69,19.63,604.79,8.89,0,9.71,0,0,2.05,0,0,189.91,0,0,13.06,195.92,1.17,201.97,8.73,0,0,0,0,0,0,0,0,18.1,0,7.51,0,0
