stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,17.25,0,0,0,0,0,0,0,0,0,93.37,0,0,9.21,0,0,0,0,0,0,0
 10-12,8.48,0,0,40.53,0,0,0,0,0,0,0,0,0,90.85,0,0,37.8,0,0,0,0,0,0,0
 14-21,0,0,0,2.13,0,0,21.08,0,0,0,0,0,0,161.23,0,0,0.86,0,0.83,2.6,140.05,0,0,0
 24-34,0,0.67,0,2.28,0.66,0,9,0,0,0,0,3.59,0,285.97,0,0,0,0,0,0,100.53,0,0,0
 36-46,0,0,0,4.21,0,0,33.07,0,0,0,0,1.3,0,553.42,0,0,0,0,0,0,115.07,0,0,0
 48-58,0,1.43,1.92,50.17,2.85,0,100.99,0,0,0.69,2.86,1.64,6.48,496.07,0,0,0,0,0,0,93.87,0,0,1.04
 60-70,0,0,0,133.65,0,0,166.7,0,0,0,0,0.71,1.6,461.32,0,0,0,0,0,0,61.34,0,0,0
 72-82,0,6.41,0,196.25,2.07,0,164.68,0,1.23,1,7.12,8.15,1.79,569.01,1.07,2.58,0,6.82,0,0,22.19,0.87,2.08,5.04
 84-94,0,0,0,87.32,0,0,79.52,0.76,0,1.39,0,0.63,0,301.52,0,0,0,1.11,0,0,18.99,0.61,0,0
 96-106,0,2.34,2.73,59.41,0,2.49,57.77,0,0,0,0,1.69,0,211.64,0.68,0,0,0.69,0,0,2.11,2.93,0,0
108-118,0,2.41,0,58.76,0,0,81.39,0,0,0,0,1.68,0,371.71,0.55,0,0,0,0,0,0.95,3.02,0,0
120,0,0,0,42.1,0,0,60.18,0,0,0,0,0,0,234.29,0,0,0,2.82,0,0,2.31,0,0,0
