stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.19,2630.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.15,0,0,0,0,0,0,0,0,0,0,0
  5-6,129.49,1731.53,0,10.68,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,45.59,0,0,0,18.43,0,50.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,6.37,0,22.34,0,0,0,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.2,6.92,0,0,77.16,0,4.16,10.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,57.23,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630.6,3.71,0,0,60.71,0,12.48,4.8,0,123.15,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,5.98,138.58,565.65,0,1.78,1.87,0,227.5,9.18,0,20.27,0,23.48,0,0,0,16.11,1.95,0,2.56,202.18,20.17,31.33,103.15,17.91,0,17.71,3.06,10.76,306.18,1.91,4.51,717.75,0,0,291.14,0,0
 24-34,0,0,0.75,4.43,52.93,69.07,0,3.74,2.91,0.99,261.03,3.64,0,25.13,0,42.71,13.35,7.77,8.48,14.35,1.29,0,1.06,227.04,2.02,161.61,31.43,0,0,42.58,0,0,223.46,0,5.52,427.77,0,0,1281.18,0,1.2
 36-46,0,0,0,0.56,21.54,15.81,0,33.86,0,0.65,171.2,9.19,0,16.49,0,21.58,9.47,1.14,4.72,3.73,1.37,0,2.31,209.99,0.6,182.02,33.75,0,0,98.03,0,0,95.46,0.6,0,285.42,0,0,831.84,0,2.27
 48-58,0,0,0,0,17.02,3.13,0,28.41,1.02,6.83,189.49,9.06,0,19.45,0.45,7.3,24.31,0.8,0,7.8,3.1,0,1.58,203.43,2.59,126.54,38.97,0,0,53.78,0,0,34.48,0,0,305.45,0,0,639.36,0,0.63
 60-70,0,0,0,0,32.09,10.02,0,23.43,0.99,0.63,140.74,5.72,0,18.14,2.38,0,18.64,1.41,0,14.28,0,0,2.11,167.97,0,108.75,53.25,0,0.84,18.74,0,0,24.39,0,0,165.69,0.84,0,388.37,0,0
 72-82,0,0,12.83,0,20.64,1.51,0,33.64,1.27,0,152.44,10.56,3.15,29.3,1.43,3.65,34.57,0,0,4.87,1.16,0,0,77.33,0,186.73,57.15,0,0,18.41,0,0,16.69,0,0,110.39,0.68,1.97,1077.84,1.87,7.36
 84-94,0,0,10.58,5.21,33.28,0.61,7.84,21.08,2.22,0.77,110.89,11.51,0,12.49,1.34,12.51,57.4,0,0,25.67,0,0,0.57,97.79,0.76,250.22,78.91,0,0,31,0,0,42.21,0,0,84.94,0.6,1.05,1141.45,0,0
 96-106,0,0,9.84,7.47,55.7,12.8,0,34.49,1.17,0,146.89,16.57,0,35.24,5.33,11.76,84.42,1.25,2.74,29.11,1.9,0,0,134.67,0,350.64,91.66,0,2.14,30.59,0,0,19.27,0,0,89.55,7.83,1.27,1624.46,3.27,0
108-118,0.78,0,8.16,6.6,28.65,20.62,0,26.88,5.76,1.28,121.57,12.47,0,27.6,2.46,6.51,47.07,7.44,0,8.39,0,0.83,2.11,69.14,0.83,249.14,75.32,0,0,17.48,0,0,23.41,0,0,54.71,7.58,0,1177.69,1.95,0
120,0,0,3.01,0,36.47,0,0,16.32,6.93,0,139.42,20.98,0,37.17,2.56,9.23,44.8,0,0,3,0,0,0,51.04,0,193.05,77.25,0,0,13.78,0,0,36.97,0,0,52.35,1.27,0,1192.34,0,0
