stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,19.87,7.09,0,4.11,0,0,0,0.95,3,0,2.91,0,0.81,0,0,0,0,7.24,0,0,7.98,49.71,2.46,1.68,0.83,0,34.59,7.44,0.91,7.7,19.41,0,0,4.15,0,0
 24-34,0,3.42,5.56,3.52,0,12.99,0,1.38,1.54,5.34,1.88,0,8.49,2.7,2.28,0,1.01,0.74,0.78,8,0,0,7.32,53.18,0.83,1.25,1.33,0,48.57,0,3.41,1.96,11.71,0,0,59.45,0,0
 36-46,0,0,1.79,0,0,10.46,0,4.64,2.61,6.08,0,0,8,0.66,0,0,1.36,1.94,0,26.42,0,0,3.62,67.72,0,0,1.31,0,70.77,0,2.04,0,24.43,0,0,35.84,0,13.62
 48-58,0,0,6.52,0,0,36.99,0,8.67,0.41,18.44,1.77,2.6,5.71,1.87,0.83,0.39,3.75,0,6.21,40.95,0,0.42,5.51,117.16,0,0.81,2.8,0,47.28,0,0,0,25.66,0,0,46,0.5,0.54
 60-70,0,0,7.9,4.71,0,52.63,0,18.72,2.56,23.59,2.27,0,17.58,5.78,1.4,0,0.73,0,1.05,57.18,2.11,10.43,3.77,58.17,2.94,0,3.58,3.98,61.78,0,3.39,0,13.84,0.77,5.12,31.43,0,0
 72-82,1.26,0,24.15,0,0,73.19,5.05,6.09,1.36,43.14,8.9,0,9.61,8.23,0,2.61,0.92,0,0,125.25,0,5.7,13.48,111.94,0,3.12,6.33,2.91,27.13,0,1.82,0,1.79,6.19,7.81,62.19,7.95,0
 84-94,2.12,0,36.21,0,0,101.53,2.25,10.18,0.96,39.44,15.71,3.31,10.08,26.94,4.28,1.38,3.99,0,0,105.94,7.27,20.57,5.28,61.61,0,0,3.7,0,102.98,0,4.72,0,9.72,1.59,1.67,101.08,2.77,2.75
 96-106,0,0.69,26.74,8.64,0,95.12,1.64,11.05,1.63,51.87,13.29,0,17.36,20.67,7.21,6.68,4.26,0.62,0,115.92,0,2.52,1.46,93.03,0,7.63,2.03,1.54,94.86,0,3.93,0,2.53,6.47,4.85,120.22,4.23,0
108-118,0,1.8,38.19,5.87,4.27,74.69,1.54,10.82,9.72,42.93,23.94,0,8.76,14.17,5.91,8.74,1.22,1.32,2.7,106.49,0.98,5.97,4.46,79.57,0.85,1.06,6.28,2.81,78.03,0,3.15,0,4.39,1.65,3.37,96.33,6.31,0
120,0,0,55.05,1.14,0,128.03,0,11.38,0,106.41,28.02,0,1.61,48.75,0,24.25,0,16.36,0,219.24,0,19.96,0,118.46,0,0,3.26,0,92.08,0,0,0,1.75,0,0,88.29,20.89,0
