stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,2.4,0,0,0,0,0
 48-58,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,5.79,0.79,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0
 72-82,0,1.13,0,97.86,0,0,1.34,0.66,0,0,0,0,0.53,1.52,0,18.59,0,1.41,0,0,0,0,0
 84-94,0,5.05,7.13,445.36,8.27,0,3.58,0,1.8,0,0,0,0,0,1.5,10.14,0,0.97,4.75,0.6,0,0,0
 96-106,0,1.91,1.42,154.35,4.63,0,0,2.47,0,0.78,0,0,2.19,0,0,54.61,0,1.73,0,0,0,0,0
108-118,1.15,0.68,0,391.2,8.84,0.42,6.07,0,0,0,0.43,0,1.63,0.59,1.43,32.7,0.49,4.94,0,0,2.08,0.65,5.98
120,0,0,0,292.6,0,0,0,0,0,0,0,5.51,5.99,0,0,22.07,0,1.2,12.32,0,0,0,0
