stage,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,periderm,spinal_cord,taste
 14-21,1.1,0,0,0,0,0,0.85,0,0,0
 24-34,0,1.73,0,0,0,0,0,0,0,0
 48-58,0,0.68,0,0,0,0,1.06,0,0,0
 60-70,0,0,0,0,0.63,0,0,0,0,0
 72-82,0,0,0.68,0,0,0,2.35,0,0,0.67
 84-94,0,2.72,0,1.13,1.6,0,0,0,0,0
 96-106,0,0,0,0,0,0.97,0,0,0,0
108-118,0,0,0,1.86,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.03,5.09,0
