stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.29,0,21.64,0,5.97,0,20.42,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,3811.92,14.47,0,0,106.41,0,6.84,0,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,2.49,2647.82,3.04,0,121.8,0,8.67,0,9.95,0,1.96,0,0,34.76,0,0,0,0,4.85,7.1,0,6.99,588.33,3.91,0,0.88,2.61,0,3.14,0,4.41,0.89,4,10.24,265.89,0,0,0,0,0
 24-34,0,0.8,3.52,1179.77,0,0,99.45,0,105.07,0,9.67,6.42,0,5.17,0,9.38,0,7.07,0.95,0,25.76,15.5,0,18.35,450.04,6.82,4.62,0,0,0,2.88,0,0,0,3.77,6.36,252.82,0,0,9.34,0,0
 36-46,0,0,2.84,1354.39,0,0,83.74,0,151.2,2.25,33.88,13.26,0,4.93,0,3.93,0,3.55,2.13,0,70.37,14.71,0,3.74,736.77,2.89,3.08,0.81,0,0,50.17,0,0,9.15,0,0,139.14,0,0,0.68,0,0
 48-58,0,0,3.98,1158.59,1.79,0,196.03,0,135.57,1.61,251.77,22.95,8.35,0.76,0,1.8,6.52,5.01,25.41,9.92,256.5,10.15,0.45,9.81,1614.11,0.51,1.53,19.17,0,0.45,88.79,0,0,1.82,0,0,203.23,0,0,3.68,0,7.29
 60-70,0,2.84,0,1344.94,0,0,293.2,0,158.7,0.84,671.84,47.14,2.2,9.99,2.21,5.88,0,5.38,8.52,0,321.92,18.57,8.69,15.77,1491.44,7.9,0,22.53,0,0,76.57,0,0,2.64,0,0,378.43,10.32,0.79,0,1.13,6.09
 72-82,0,5.75,4.43,891.29,5.44,0,338.89,1.33,86.24,4.58,612.46,44.69,0.83,1.51,0,25.43,0,11.01,0.59,0,291.45,8.25,6.95,31.52,1482.13,0,2.64,26.07,0,2.35,58,0,0,0,0,0,269.03,31.09,4.74,0.5,8.25,3.61
 84-94,0,8.27,5.15,1482.91,1.74,0,345.22,0,148.47,1.5,619.1,109.85,0.85,1.96,0,16.59,1.89,9.38,12.05,0,217.87,13.43,4.69,22.6,1013.71,0,10.84,41.65,0,0,114.61,0,0,11.79,0.79,0,116.39,71.71,2.95,0.78,0.89,1.05
 96-106,0,9.2,8.66,1521.75,11.34,1.19,324.29,0,151.31,1.38,595.45,83.63,0,0,7.43,18.16,2.7,15.7,17.64,0,122.66,19.35,2.44,13.28,766.01,0,2.15,30.29,0,5.19,77.66,7.65,0,4.87,0,0,72.72,97.9,2.3,12.97,2.11,0
108-118,0,9.15,6.2,1490,1.13,2.24,427.02,0,193.49,3.78,564.05,100.34,0,0,2.04,13.2,0,20.14,29.63,0,176.87,11.5,8.27,14.04,799.62,0.99,4.29,43.38,0,1.58,40.41,0,0,9.53,0,0,75.99,130.26,4.79,1.69,4.19,8.82
120,0,0,4.41,1527.37,1.2,0,400.71,0,172,0,1019.12,146.84,0,9.56,1.14,8.6,5.74,21.66,40.39,0,170.96,28.8,6.92,35.62,1383.4,18.74,1.46,49.66,0,15.07,32.48,0,0,0,0,0,82.61,58.28,16.89,0,0,4.37
