stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
  3-4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0
 14-21,0,2.44,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0.91,0,46.17,3.77,0,1.34,2.81,0,1.01
 36-46,0,0,0,1.99,0,0,0,0,0,0,0,0,100.04,3.04,0,0,6.95,0,0
 48-58,0,5.48,0,52.11,0.73,0,0,0,0,0,0.49,0,121.08,5.38,0,0,2.51,0,0
 60-70,0,0,0,72.4,1.42,0,0,0,1.79,0,0,0,164.72,1.19,0,0,8.35,0,0
 72-82,0,0,0,60.06,3.3,0.58,1.02,0.67,0,0,0,0,139.49,2.13,0.76,0,8.23,0,0
 84-94,0,0.56,0,43.77,1.76,2.4,0,4.7,0,2.39,0,0.63,118.41,12.07,0,0,2.76,0.71,0
 96-106,0,2.95,0.91,21.08,3.75,0,0,1.39,0,5.93,2.61,0,74.77,2.03,0,0,2.37,0,0
108-118,0,3.83,0.42,25.6,2.62,0,0,2.56,0,1.96,1.04,0,81.07,0.6,0,0,3.24,0.83,0
120,0,0,0,31.74,3.63,0,0,11.02,0,0,0,0,113.34,19.48,0,0,12.59,0,0
