stage,axial,blastomeres,epidermis,fin_epithelia,gut,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pronephros,vasculature
  3-4,0,40.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,80.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.96,0,0,0,4.67,0,0,0,0,0,22.4,0,37.16,0,0,0
 10-12,0,6.23,0,0,0,0,0,0,0,0,0,10.14,4.23,0,0,10.89,0
 14-21,0,0,0.81,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.32,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,8.46,0,0
 48-58,0,0,0.66,0,0,0,0,0,1.77,0,0,2.69,0,0,2.01,0,0
 60-70,0,0,0.68,0.68,2,0,0,0,3.4,0,0,3.23,0,0,2.37,0,0
 72-82,0,0,0,0,0,0,1.83,0,1.93,1.52,0,4.3,0,0,15.14,0,0.72
 84-94,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0.6,0,0
 96-106,0,0,0.6,0,0,0,0,0,3.44,0,0,5.7,0,0,2.24,0,0
108-118,0,0,0.44,0,0.56,0,0,0,0,0,0.45,5.9,0,0,0.42,0,0
120,0,0,1.59,0,0,0,3.53,0,2.19,0,0,0,0,0,0,1.83,0
