stage,epidermis,eye,fin_mesenchyme,glial,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,21.39,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.08,0,0,1.59,0,0,0,0,4.29,0,0,0
 24-34,0,0,0,1.34,0,0,0,1.41,0,5.18,35.62,2.51,0,1.51,0.77,9.05,0,0,0
 36-46,0,0.65,0,0,0,0,0,1.46,1.14,0.66,26.06,1.4,7.92,0,0,13.69,0,1.94,0
 48-58,0,2.59,0.56,0.85,0,0.39,0.39,3.84,0,5.24,71.04,1.3,0,0,0,18.74,0,0,0
 60-70,0,6.14,0,7.67,0,0,0,7.44,0,0,53.29,0,0,0,0,26.21,0,0,0
 72-82,0,6.18,0,7.11,0.93,0,0,7.76,0.68,1.35,51.28,2.6,0,0,0,17.28,0.51,0,0
 84-94,0,0,0.83,1.79,0,0,0,3.78,1.06,0,41.39,0.6,0,0,0,17.31,0,4.41,0.68
 96-106,4.36,0,0,5.15,0,0.57,0,5.54,0,3.22,28.68,0,0,0,0,0.67,0,0,0
108-118,2.25,2.28,0.57,1.91,0,0,0,7.6,0,1.08,38.98,0,0,0,0,6.17,0,0,0
120,0,0,0,4.54,0,0,0,37.6,0,0,79.99,6.24,0,0,0,20,0,0,9
