stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.46,632.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.69,0,0,0,0,0,0,0
  5-6,13.54,607.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.13,7.03,0,0,9.77,0,0,0,0,0,0,0,0
  7-9,0,0,14.84,0,0,62.85,0,0,0,19.28,0,0,0,0,0,0,0,239.71,7.03,0,0,99.19,0,0,0,0,0,0,0,0
 10-12,0,7.32,30.42,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,287.28,0,0,0,106.7,0,0,22.55,0,0,0,0,0
 14-21,0,0,0,2.1,0.86,3.36,0,2.14,0,0,0,0,0,0,6.04,0,0.84,33.92,0.84,0,0,0.9,0.89,4.3,0,4.31,12.96,0,0,0
 24-34,0,0,0,0,1.41,8.13,0,0.92,0,0,0,0,1.17,0,1.91,0,2.73,47.72,0,1.33,0,0,1.01,0,0,1.66,12.64,1.22,0,0
 36-46,0,0,0,0,0,10.06,0,3.65,0,0,0,0,0,8.72,4.37,0.57,0,45.84,0,0,0,0,0,0,0,0,10.74,0.62,0,0
 48-58,0,0,0,0,0,15.15,0,2.47,0,0,1.78,0,0,0,5.43,0.4,0,19.68,0,0,0,0,2.57,0,0,0,9.79,0,0,0
 60-70,0,0,0,0,0,15.83,0,10.44,0,0,0,0,0,0,5.76,3.88,0,31.92,0,0.84,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.16,0,2.26,0,2.27,0.53,0,0,0,0,0,7.37,0,0,19.55,0,0,0.75,0,0.51,0,0,0,0,0,0,0
 84-94,0,0,1,0,0,10.23,0,2.67,0,0,0,0,0,0,2.91,0,0,7,0,0,0,0,1.13,0,0,0,2.88,0,3.24,0
 96-106,0,0,0,1.44,0,16.8,0,3.83,0,0,0,0,0,2.54,4.25,0,0,7.08,0,0,0.96,0,0.9,0,0,0,4.72,0,1.15,0
108-118,0,0,0,0.52,0,8.82,1.14,0.58,0,0,0,0.42,0,0.87,10.96,0,0.6,24.69,0,0.79,0,0,0.86,0,0,0,1.51,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,4.93,14.35,0,0,0,0,0,0,0,0,0,1.36,0,2.85
