stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.98,140.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,160.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.84,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,120.27,0,0,24.51,0,0,0,0,0,0,0,0
 10-12,0,16.22,10.6,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,134.02,0,0,55.69,0,0,10.83,0,0,0,0,0
 14-21,0,0,0.89,3.21,0,0,0,0,0,0.89,0,2,0,0,0,0,3.13,0,1.12,18.44,0,1.19,0.82,0,0.9,0,2.53,3.6,8.97,0,0
 24-34,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,14.06,0,0.64,39.32,0,2.35,0,0,0,0,0,0,5.19,8.45,0
 36-46,0,0,0,3.76,0,0,1.32,0,0,0,0,0,0,0,0,0,66.09,0,0,75.33,0,0,0,1.18,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,2.62,0,2.29,0.62,0,7.9,0,0,0,0,2.22,0,56.19,0,1.18,4.97,0,0,0,0,0,0,0,0,6.09,0,0
 60-70,0,0,0,0,0,0,4.93,0,13.05,13.36,0,0,0,0,0,0.95,59.29,0,0.95,13.14,0,0.72,0,0,0,0,0,0,2.72,0,0
 72-82,0,0,0,4.17,0,0,8.29,0,0,2.88,0.5,0,0,0,29.98,0,286.04,0,0.87,13.86,0,0,0,0,0,1.23,0,0,0,0,0.59
 84-94,0,0,0,6.98,0,0,0,0,0,2.78,0,0,0,0.81,0,0,2.83,0.6,0,52.5,0,0,0,0,0,3.78,0,0,0,1.81,0
 96-106,0,0,0,0.6,0,0,13.59,0,0,0.7,0,0,0,0,0,0,45.06,0,10.77,27.7,3.46,0,0,0,0,5.11,0,0,0,0,0.64
108-118,0,0,0,12.99,0,1.93,2.85,0,1.48,1.91,0,0,0.51,0.56,0,0,13.31,0,0,6.58,0.46,0,0,0,0,2.16,0,0,0,0,0
120,0,0,0,0,0,0,15.03,0,32.26,8.9,0,0,0,0,0,0,30.09,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0
