stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  5-6,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0
 10-12,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0
 14-21,0,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0
 24-34,0,0,104.58,0,0,2.13,0,0,0,0,0,0,0,0,0,2.23,0,0.65,8.22,1.75,0.72,0,0,0,1.16,0,0
 36-46,0,0,70.17,0,0.56,10.83,1.09,0,0,0,1.25,0,0,0,0,0,0,0,7.52,0,0,0,0,0,3.17,0,0
 48-58,0,0,77.57,0,6.75,5.05,0,0,0,0,0,0,0,0,0,0.88,0.92,0.45,13.53,0,1.12,0,0,0,0.76,0,0.6
 60-70,0,0,86.98,0,12.7,7.83,0,0,0,0,0.84,0,0,0,0,0.73,0,0,6.69,0,0,0,0,0,1.53,0,0.98
 72-82,0,0,86.27,0,6.45,9.58,0,0,0,0,7.4,0,0,0.69,0,2.91,0,0,1.04,0,2.35,0,0,0.61,0,0,3.1
 84-94,0,0,164.65,0,0,17.32,0,0,0,0,5.17,0,0,0.78,0,3.37,1.34,0,6.11,0,3.69,0,0,4.11,0,0,3.09
 96-106,0,0,173.18,0,0.77,10.25,0,0,0,0,19.54,0,2.05,0,0.63,5.08,0.79,0,17.09,0,2.62,2.73,0,1.42,0,0,6.74
108-118,0,0,182.13,1.45,7.24,18.71,0,3.43,0.86,0,29.57,0.63,0,1.72,0,7.14,0,0,12.28,0.59,4.41,0,0,0,0,1.01,6.42
120,0,0,124.1,0,4.29,13.32,0,0,1.14,0,34.41,2.37,0,3.26,4.54,0,0,0,2.98,1.12,8.48,0,0,0,0,0,11.56
