stage,axial,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0
  5-6,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0,0,4.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0
 14-21,0,0,0,11.93,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,1.76,0
 24-34,0,0,0.9,52.04,0,0,0,0,0,0,0,3.42,0,1.43,17.41,0,0,0,0,0.94,5.49,0
 36-46,0,0,1.24,24.43,0,0,0.72,1.55,0,3.34,0,0,0,0,30.83,0,0.75,0,0,0,4.11,0
 48-58,0,0,0,22.46,0,0,0,0,0,0,0,0.41,0,0,63.49,0,18.32,0,0,0,8.87,0
 60-70,0,0.6,3.03,57.97,0,4.36,0,0,0,1.94,0,1.91,0,0,134.04,0,1.45,0,0.77,0,21.38,0
 72-82,0,0,0,98.05,0,2.06,0,0,0,0.79,0,4.92,0,0,207.08,0,3.77,0,0.52,0,9.7,0
 84-94,0,0,1.92,61.23,0.7,1.95,2.2,0,2.52,2,0,0.75,0,0.59,181.89,0,2.43,0,0.61,0,14.47,0
 96-106,0,0.61,2.73,115.97,0,5.84,0,0,0,2.18,0,3.07,0,0,120.26,0,4.39,0,19.12,0,7.22,0.62
108-118,0,0,2.8,155.54,0,6,0,1.13,1.37,6.85,0.56,0,1.62,0,147.13,0,9.78,0,0.64,0,1.82,0
120,0,0,0,102.05,0,0,0,0,0,5.96,0,0,0,1.05,251.47,4.24,4.02,0,1.26,0,0,2.09
