stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal_cord,vasculature,xanthophores
  3-4,12.39,79.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0
  5-6,14.02,37.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0
  7-9,0,0,3.91,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,4.51,0,0,0,8.46,0,0,0,0,0
 10-12,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1.03,1.04,1.26,0.99,0,0,1.45,1.31,1.11,1.62,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,1.16,0,2.32,0,0.97,0,0,0,0,0.71,2.26,0
 36-46,0,0,0,0,0,0.6,0,0,0,0,0,0,0.77,0,0,0,1.14,0,1.23,2.8,0,0,2.33,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.75,0,0,0.46,0,0,0,0,0,0,0,0,1.43,0,0.63,0,0.37,0,0.4,0,0,0.39,0.45,0
 60-70,0,0,0,0,0,1.2,0,0,3.15,0,0,0,0,0,0,0,0,0.77,0,0,0,1.42,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.53,0,0.58,0,0,0,0,0,0,1.36,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.07,0,3.41,0,0,0,0,0,0.75,0,3.95,0,0,0,3.36,0,0,0,0,0,0.58,0,0,2.33,0,1.04
 96-106,0,0,0,0,6.56,2.6,2.37,0,0,0,0,0,0.59,0,0,0,0,7.79,0,0,0,1.54,0,1.24,0,0,0,0,0.58
108-118,0,0,0,1.36,5.04,0,0,0,0,0.68,0,0.9,2.02,2.2,0.7,0.88,0,2.93,0,1.16,0,0,0.42,5.34,0,0,0,0,0
120,0,0,0,0,0,9.76,2.96,0,1.18,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,6.3,0,0,0,0,0
