stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.88,1465.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.66,1094.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.94,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,11.8,0,0,0,12.16,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,172.44,8.86,0,0,23.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,43.52,0,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.66,0,0,0,24.55,0,0,5.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,4.01,71.09,0,0,4.3,2.04,0,0.89,0.92,0,0,0,0,0,1.76,2.47,0,0,4.01,117.31,4.92,7.17,9.43,0.82,0,0,0,0.93,0,0,1.39,34.02,0,0,0,0,0
 24-34,0,0,3.64,1.41,35.48,0,0,10.45,8.88,0,9.15,0,0,0,0,0,8.29,0,6.19,0,0,1.95,455.62,3.45,2.52,11.26,0,0,0.77,0,0,0,0,0,91.41,0,0,0,0,0
 36-46,0,0,3.12,0,24.81,0,0,11.53,18.33,0,14.76,0,0,0,0,0,4.82,1.55,23.2,0,0,3.82,557.66,27.87,3.47,15.66,0,1.69,0,0,0,1.29,0,1.34,95.46,0,0,4.04,0,0
 48-58,0,0,1.51,0,32.59,0,0,47.21,9.86,0,22.03,0,1.64,3.93,0.4,0,1.41,10.64,44.45,0.87,0,5.91,502.65,20.1,0.39,7.04,0,0,5.51,0,0,0,0,0,124.27,0,0,3.14,0,0
 60-70,0,0,0.57,0,40.29,0,0,41.89,21.37,3.09,29.13,0,0,0,0,0,1.53,11.06,78.63,0,0,5.68,500.21,8.74,4.11,13.82,0,0,6.16,0,0,0,0,0,121.37,0,0.7,0,0,0.69
 72-82,0,0,4.71,0,42.74,0,0,37.97,11.64,2.94,27.59,0,0,0,0,0,3.63,9.76,120.22,0,0,5.36,463.21,2.43,1.32,13.02,0,0,1.44,0,0,0,0,0,68.76,2.99,0,0,2.04,0
 84-94,0,0,4.89,0.78,77.09,1.26,0,36,13.59,0,9.76,0.71,0,0,0.8,0,0,39.62,116.68,0,2.75,4.16,338.21,12.92,0,6.5,0,0,0.72,0,0,2.35,1.43,0,73.04,3.79,3.05,2.57,0,7.59
 96-106,0,0,3.22,0,55.88,9.23,0.94,32.14,27.93,0,15.51,3.89,0,0,0.86,0.76,2.39,94.15,153.15,0.84,3.83,6.37,284.65,0.77,2.51,5.71,0,0,0,0,0,0,0,0,12.59,2.93,4.66,0,0.68,0.6
108-118,0,0,5.92,0,43.84,1,0.49,34.27,18.63,1.78,9.96,2.01,0,0,2.05,1.01,1.29,272.7,115.88,0,11.1,0.81,273.06,4.95,2.17,11.03,0,0,2.78,0,0,0,0,0,31.81,1.66,3.05,2.69,3.48,0
120,0,0,13.75,0,68.36,0,0,21.94,23.29,26.67,30.5,2.91,0,0,2.78,0,0,136.84,121.86,0,0,3.51,297.54,1.2,1.7,38.11,0,0,0,0,0,0,0,0,35.01,6.32,0,3.67,0,0
