stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,otic,presomitic_mesoderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,4.96,0,0,0,0
 14-21,0.95,0,0,0,0,0,0,0,0.86,0,0
 24-34,0,0,0,0,0,0,0.7,0,0,0,3.03
 36-46,0,0,0,0,0,0,4.45,0,0,3.02,0
 48-58,0,0.82,0,0,0,0,1.91,0.92,0,0.93,0
 60-70,0,0.75,1.12,0,0,0,10.79,0,0,3.37,0
 72-82,0,2.85,0,0.5,0.84,0,1.77,0.91,0,0,0
 84-94,0,1.57,0,0,0,0.57,7.21,0,0,7.4,0
 96-106,0,0,1.04,1.36,0.67,1.25,2.73,0,0,0,0
108-118,0,0,0,2.05,0,0.97,1.64,0,0,0,0
120,0,0,0,0,0,3.35,12.58,0,0,0,0
