stage,blastomeres,endoderm,immune,melanocytes,neural,paraxial_mesoderm,spinal_cord
  3-4,18.83,0,0,0,0,0,0
  7-9,0,0,0,0,17.33,3.43,0
 10-12,0,4.97,0,0,11.51,0,0
 36-46,0,0,0,4.5,0,0,0
 48-58,0,0,0,0,3.75,0,0.88
 84-94,0,0,0.69,0,0,0,0
108-118,0,0,0,0,5.55,0,0
