stage,blastomeres,eye,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,10.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.99,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,3.03,0,0,0,0,0,0
 24-34,0,1,0,0,0,0,0.68,0,0,0,0,0,1.08
 36-46,0,0,0,0,0.7,0,8.02,0,0,0,0,0,0
 48-58,0,0,0,0,2.18,0,0.86,7.38,0,0,0,0,0
 60-70,0,0,1.2,0,5.62,2.4,1.38,5.59,0,0,1.26,0,0
 72-82,0,9.03,0,0,19.01,4.15,0.73,2.19,0,0,0.93,0.53,0
 84-94,0,0,0,0,30.38,1.23,5.63,4.37,1.05,0,0.56,0,0
 96-106,0,0.67,0,0,24.41,3.31,0,9.82,0,0.79,1.26,0.87,0
108-118,0,0,0,0,29.67,0.85,20.78,15.21,0,0,0,0,0
120,0,0,0,0,69.97,1.81,3.48,34.38,0,0,0,0,0
