stage,eye,melanocytes,neural,notochord,olfactory,spinal_cord
  7-9,0,0,0,4.79,0,0
 48-58,0,0,0,0,0,0.72
 96-106,6,0,81.79,0,141.23,0
108-118,0,0.51,0,0,22.16,0
