stage,epidermis,eye,glial,muscle,neural
 14-21,1.54,0,0,0,0
 24-34,0,0,0.65,0,0
 36-46,0,0.8,0,0.93,0
 48-58,0,0,0,0,0.67
 60-70,0,0,0,0,4.37
