stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.92,0,0,5.01,0,0,0,0,0,1.45,0,0,0,0,0,0,1.52,0,0,3.35,156.95,0,0,0,0,0,3.49,0,0,79.28,0,0,0,0,0
 24-34,0,0.83,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,6.18,1525.56,0,1.47,0,0,0.78,0,0,0,242.35,0,0,0,0,0
 36-46,0,0,0,0,274.85,0,0,0,1.46,0,0,0,0,0,0,0,0,5.81,0,0,0,3125.15,0.64,3.66,0,0,10.49,0,0,0,659.64,0,0,0.64,0,0
 48-58,0,8.99,0,0,820.54,0,2.79,0,12.99,0,0,0,0,0,0,0,0,8.86,0,0,2.77,1777.31,0,0.91,0,0,0,0,0,0,543.46,0,0,0.52,0,0
 60-70,0,1.27,0,0,3430.01,0,0,0,23.53,0,0,0,0,8.58,0,0,0,11.71,0,0,0.74,828.46,1.1,0,0,0,1,0,2.7,0,158.79,0,0,0,0,0
 72-82,0.62,29.9,6.39,0,5607.68,5.17,0,6.94,65.01,0,1.47,0,0,6.6,0,5.32,1.89,28.9,0,0,1.81,1016.73,0.72,3.23,2.07,0,10.11,0,0,0,86.92,0,0,0,3.19,5.6
 84-94,0,13.31,11.2,0,5696.96,1.12,0,0,61.25,0.76,0,0.65,0,0.63,0,0.65,0,33.74,0,1.58,7.25,873.24,1.25,0.6,0.67,0,2.68,0,0,0,63.6,0,2.39,0,0,1.33
 96-106,3.68,40.59,24.39,9.83,7868.45,5.95,0.58,1.11,96.29,1.92,0.82,5.67,2.38,0,0.79,3.71,0,52.88,0,3.51,1.44,1019.14,0,5.7,2.79,1.01,20.25,0,0,0.6,39.41,0.66,1.15,14.71,0,7.7
108-118,0,54.29,2.23,11.44,7694.11,0,0,7.84,83.02,0.69,2.49,9.93,0,1.32,0.61,7.61,0,42.28,1.08,1.34,8.47,1360.3,0.54,0,0.48,0,11.24,0,1.48,0,22.98,6.84,1.24,1.59,2.42,4.02
120,1.37,16.2,1.64,6.82,5006.75,1.01,4.56,0,62.51,0,0,2.99,0,0,8.05,19.69,0,58.38,1.49,0,6.6,1776.28,0,0,0,0,6.17,0,0,0,5.61,0,0,0,0,0
