stage,epidermis,eye,glial,mesenchyme,neural,spinal_cord
 14-21,0,0,0,0,1.12,0.83
 24-34,0,0,0,0,3.2,0
 36-46,0,2.67,0,0,36.18,1.73
 48-58,1.21,2.22,0.46,0,36.13,7.8
 60-70,6.21,21.69,0,0,43.78,2.37
 72-82,0,20.82,0,0,25.96,2.84
 84-94,0,10.32,0,2.52,5.95,0
 96-106,0,6.36,0,0,12.11,0
108-118,1.4,6.95,0,0,16.7,0
120,0,4.62,0,0,37.68,0
