stage,epidermis,eye,glial,mesenchyme,neural,periderm
 14-21,0.95,0,0,0.83,0,0
 24-34,0,0.7,0,0,0.79,0
 36-46,0,0.75,0,0.67,0.61,2.35
 48-58,0.37,0,0,0,3.39,0
 60-70,0,0,0,0,1.3,0
 72-82,0,0,0.97,0,0,0
 84-94,0,1.85,0,0,0,0
120,0,2.18,0,0,0,0
