stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,heart,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,1077.67,13145.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.06,0,0,0,0,0,0,0,0
  5-6,2866.55,19385.17,0,0,0,0,0,0,16.25,0,0,0,0,0,401.77,68.74,0,168.33,207.84,0,0,0,0,0,0,0,0
  7-9,104.42,27.01,23.42,0,0,0,0,0,36.1,0,0,0,0,0,651.18,45.78,0,430.24,0,9.83,0,0,0,0,0,0,0
 10-12,0,11.48,6.99,0,0,3.77,0,0,0,0,0,0,0,0,67.23,6.19,0,33.92,0,0,0,835.09,0,0,0,0,0
 14-21,0,0,0,1.01,1203.03,0.82,0,1.02,0,0,0,0,6.09,2.03,40.81,0,0,1.12,1.39,0,2.13,5.56,0,3.74,2.44,0,0
 24-34,0,0,0,2.01,11.62,0,0,0,0,0.8,0,0,0,0,8.27,0,0,0,0,0,0,0,0,2.29,1.67,0,1.51
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.6,8.02,0,0,0,0,0,0,0,0,1.32,0,0,0
 48-58,0,0,0,0,0,0,0.58,0,0,0,0,0,1.17,0,2.91,0,0.42,0,0,0,0,0,1.43,0,4.93,0.85,0
 60-70,0,0,0,0,0,0.6,0,0,0,0,0,0,0.86,0,7.82,0,0,0,0,0,0,0,0,0,2.73,0,0
 72-82,0,0,0,0,0.59,6.62,0,0,0,0,0,0,1.83,0,4.27,0,0,0,0,0,0,0,0,0,0,0,1.71
 84-94,0,0,0,0,0,0,2.25,0,0,0,0.76,0,2.77,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.84,0,0,0,0,6.95,1.2,22.85,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.94,0,17.08,0,0,0,0,0,0.56,0,1.05,7.31,0,0,0,0,0,0,0,0,0,1.14,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0
