stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.72,37.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89,0,0,15.71,0,4.44,0,0,0,0
 14-21,0,0,0,0,2.34,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,1.61,0,2.91,0,0,0
 24-34,0,0,0,3.37,0.81,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0.66,7.66,0,0.62,0,6.72,0,0.6,0,0.65,0
 36-46,0,0,0,0,0,0,0.66,0,0,2.97,0,0,0,0,0,0,5.97,0,0.85,18.04,0,3.85,0,15.46,0,2.41,0,0.56,0
 48-58,0,0,0,0,2.88,0,5.54,0,0,0,0,0,0,0,0,0,13.42,1.15,0.53,19.07,0,1.73,0,6.86,0,1.42,0,0,0
 60-70,0,0,0,6.31,1.55,0,9.14,0.81,1.48,0,0,0,1.48,0.58,0,2.05,13.48,0,0,23.53,0,0,0,0,0,3.29,0,0,9.17
 72-82,0,0,0.91,2.49,57.29,1.04,12.14,0,0,0.63,1.44,0,0,0,0,0.69,19.44,4.98,0.63,28.01,0.58,0,0,6.19,1.23,0,0.52,3.58,0
 84-94,0,0,0,1.36,34.31,1.81,2.53,0.66,0,0,4.23,0.6,0,0.73,0,0,13.89,11.47,0,2.33,0,2.92,0,4.81,0,0,1.28,3.37,0.61
 96-106,0,0,0,12.83,54.75,17.06,23.3,0,0,0,2.56,0,2.78,0.99,1.05,0,11.15,14.75,0.64,20.66,0,2.19,0,11.62,0,0,0,0,0
108-118,0,0,0,20.64,17.87,83.33,12.66,0.5,0,2.54,5.37,0,0.47,1.85,7.02,0,27.03,13.05,0,13.06,0,3.85,0,5.44,0,0,0,0.67,0
120,0,0,0,14.37,31.74,30.56,0,1.65,0,0,7.1,0,1.42,11.81,0,3.66,12.7,16.09,0,14.74,5.34,0,0,6.79,0,0,0,0,0
