stage,epidermis,gut,immune,ionocyte,mesenchyme,neural,periderm,vasculature
 60-70,0,0,4.2,0,0,9.32,0,7.6
 72-82,0.5,1.61,3.49,0,0,0,0,2.54
 84-94,0,0.68,1.9,0,0,0,0,4.28
 96-106,0,0,4.1,0,0.78,0,0.73,2.19
108-118,0.57,0,3.69,0,0,0,0,1.55
120,0,0,22.93,7.56,0,0,12.21,6.94
