stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.56,12.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.48,0,5.3,0,0,0
 10-12,0,0,0,0,0,0,0,19.04,0,0,0,0,0
 24-34,0,0,0,2.16,0,0,0,0.97,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.75,0,0,0,0.89,0
 60-70,0,0,0,1.21,0,1.55,0,3.87,0,0,0,0,0
 72-82,0,0,0,0,0,1.6,0,1.76,0,0,0,0,0
 84-94,0,0,0,0,0,5.15,0.81,3.06,0,0,0,0,4.94
 96-106,0,0,0,0,0,0,0,0,11.02,0,2.82,0,0
108-118,0,0,0.88,0,7.08,0,0,2.47,0,0,0,0,0
