stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,xanthophores
  3-4,0,62.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.17,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,6.16,0,0
  7-9,3.43,0,4.95,0,0,0,0,190.48,0,0,0,0,0,20.21,0,3.28,0,10.45,0,0
 10-12,0,0,0,0,5.98,0,0,38.92,0,0,0,0,0,63.54,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.69,0,0,0,0.63,0,0
 72-82,0,0,0,1.12,0.67,0,0,0,0,0,0,0,0,1.6,0,0,0,2.76,0,0
 84-94,0,0,0,2.19,0,1.83,0,0,0.58,0,0,0,0,0,0,0,0.77,0,0,0
 96-106,0,0,0,17.41,0,0,0.69,0,0,0,1,1.03,0,0,0.62,0,0,2.33,1.03,10.54
108-118,0,0,0,9,0,0,0,0,0,0,0,0,0,0.42,0,0,0,1.21,0,0
120,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
