stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,54.04,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,0,0,2.29,0.91,0.82,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,1.04,2.39,0,0,0,0
 24-34,0,0,0,0,2.41,0,0,0,0,1.71,0,0,78.24,3.39,0,0,0.68,0.8,0,0,1.01,40.08,0,7.3,0,0,0,0.76,0.62,0,0,14.83,0,5.49,0,0
 36-46,0,0,0,1.18,0,3.04,0,0,3.37,0,0,1.21,142.96,1.86,0,3.34,0,0.61,0,0.67,0.62,51.82,0,6.11,2.57,0,0,15.93,0,0,0,21.24,0,0.65,0,0
 48-58,0,0,0,0,0,16.11,0.42,0,5.38,0,0.7,0,97.86,0,0,0.4,0,8.37,0,0,0,55.33,0,6.46,0,0,0,5.08,0,0,0,10.91,0,0.41,0,5.78
 60-70,0,0.65,0,5.28,0,86.82,0,0,18.23,2.54,0,1.17,82.08,1.51,0,2.9,1.18,3.46,0.73,0,0,94.5,0,8.19,3.43,0,0,21.36,0.62,0,0,1.92,0.92,0.7,0,0.94
 72-82,0,2.83,0.56,2.56,2.6,67.36,0,0.93,12.49,10.03,0,1.04,102.25,0,0,11.9,0.92,3.42,0,0,0,94.63,0,10.26,4.71,0,0,9.23,0,0,0,9.11,15.6,0.98,0,0
 84-94,0,2.53,0,4.64,4.24,63,0.7,0.83,14.96,14.05,0,0,131.06,2.71,0.97,1.38,2.38,9.93,2.6,0.94,0.96,67.89,0,13.14,18.11,0,0.91,42.11,1.81,0,0,8.69,15.8,1.7,0,0
 96-106,0,1.65,0,7.32,2.74,72.3,0.58,0.74,12.13,30.31,1.32,0,150.64,1.92,0,6.27,0,9.52,2.21,0,2.61,45.26,0,24.56,11.69,0,0,37.53,0,0,0,5.97,26.15,4.61,0.69,0
108-118,0,0.71,0,18.09,6.21,85.92,0,0.8,14.24,33.75,0,0,159.68,4.68,0,3.43,7.06,8.69,0,0.96,0.6,78.53,1.29,13.51,14.2,0,0,24.47,2.01,0.55,0,0,14.17,2.82,0,1.37
120,0,0,0,9.81,0,45.65,1.78,0,1.51,48.16,0,1.54,166.32,5.4,0,4.14,0,17.52,1.56,0,0,102.34,0,5.69,0,0,0,19.75,6.85,0,0,0,18.79,6.08,0,0
