stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,taste
 14-21,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.16,3.22,0,0,12.15,0,0
 36-46,0,0.77,0,0,0,0,0,1.24,0,0,4.23,0,6.69,0,0,30.49,0.76,0
 48-58,0,0.77,4.45,0,0,0,0,0,0,0.66,3.39,0,16.01,0,0,33.13,0,0
 60-70,0,1.15,1.83,0,0.87,0,0,3.13,0,0,5.94,0,14.11,0,0,41.9,0,0
 72-82,7.58,10.97,0,0,0,0,0,4.06,0,0.78,4.51,0,17.34,0,0,24.4,0,0.5
 84-94,2.24,0,1.76,3.89,0,0,0,0,1.59,0,0.92,0,7.05,0,0,40.13,0,3.46
 96-106,19.34,1.48,0.77,0,4.8,1.41,2.07,11.37,0,0,15.4,0,22.02,0.66,0,122.19,0,22.27
108-118,13.53,1.94,0.7,0,0,1.46,0,7.7,0,5.26,8.86,0,8.03,0,0,82.46,0.46,19.22
120,42.38,0,0,0,0,0,0,15.9,0,4.16,1.49,0,29.09,0,1.34,128.92,0,48.06
