stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.92,345.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.9,120.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74,0,0,0,0,0,0,0
  7-9,0,0,4.61,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,10.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.28,3.88,0,0,0,0,4.94,0,0,0,0,0,0
 14-21,0,0,1.3,4.22,1.02,0,0,0,0,0,0,1.85,0,0,1.07,0,0,0,11.87,0,1.87,0,0,185.25,0,0,0,0,0,0,0
 24-34,0,0,0,10.09,0,0,3.26,0.92,0,0,0,0.7,3.05,0.84,1.31,1.49,0,0,31.38,0,7.54,13.31,0,388.11,2.42,0.69,4.61,0,0.9,0,0
 36-46,0,0,0,24.66,0,0,2.54,1.3,0,0,0,21.56,0,0.72,1.51,0,0,0,36.79,0.56,2.23,2.9,0,315.79,0,0,9.85,0,0,0,0
 48-58,0,0,0,3.39,0,0,6.17,0.52,1.09,0,0.53,0.37,0.37,2.48,0,0,0,0.4,20.08,0,1.23,1.55,0,150.8,0,0,5.52,0,0,0,0
 60-70,0,0,0,14.66,0,0,1.54,5.27,0.9,2.49,0,0,0,0,1.77,0.84,0,0,17.1,0,0.6,3.72,0,119.59,0,0,3.3,0,1.66,0,1.82
 72-82,0,0,0,35.77,0,0,12.3,0.84,1.47,4.48,0.55,4.37,1.24,0,2.93,0,0.51,1.46,24.3,0,0,6.7,0,122.86,0,0,5.7,0,0,0,0
 84-94,0,0,0,33.52,0,0,3.88,0.75,3.87,4.44,0,2.25,1.59,0,7.79,0,0,0,30.66,0,1.57,6.75,0,216.81,0,0,0,0.61,0,0,0
 96-106,0,0,0,49.45,0,0,0.67,0.63,2.94,7.4,0,10.79,0,0,2.58,0.83,0,0,20.7,0,2.56,2.77,0,202.91,0.67,0,0,2.81,0,0.89,0
108-118,0,0,0,50.66,0,0.47,2.29,2.89,1.85,5.56,0,11.67,0.6,0,15.81,2.09,0,0.65,15.66,0,0.5,5.75,0,233.04,0,0,0,5.25,0,0,0
120,0,0,0,44.23,0,0,4.82,4.09,0,13.27,0,13.31,0,0,2,1.65,0,0,25.19,0,0,2.43,0,113.27,1.94,0,0,0,0,0,0
