stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,42.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.02,0,17.13,0,0,0,0
 10-12,0,0,0,12.03,0,0,0,0,0,0,19.41,0,0,0,13.72,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0
 24-34,0,0,0,4.37,0,0,0,0,1.98,0.68,26.54,0,0,1.08,0,10.32,0.84
 36-46,0,0,0,0,0,0,0,0,0.86,6.22,12.34,0,0,0,0,1.5,0
 48-58,0,0,6.6,3.8,0,1.28,0,1.34,0.49,0.64,12.65,0,0,0,0,0,0
 60-70,0,0,0,8.62,0.62,3.06,0,0,0,0,22.7,0,0,0,0,0,0
 72-82,0,0,0,4.39,0,2.88,0,0,2.29,0,6.74,0,0,0,0,0,0
 84-94,0,0,1.58,0,0,0,0,0,0.58,0,4.71,4.44,0,0,0,0,0.92
 96-106,0,0,0,0,0.64,3,0.66,0,0,0,3.47,0,0,0,0,0,0
108-118,0,0,0,2.86,0,2.59,0.49,0,2.17,0,5.04,0,0,0,0,0,0
120,0,0,0,4.57,0,6.15,0,0,0,3.15,22.43,0,0,12.59,0,0,0
