stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,91.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,143.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0
  7-9,0,4.35,0,0,0,4.89,0,0,0,0,0,0,0,147.1,0,0,48.01,0,0,0,0,0,0,0
 10-12,0,0,0,11.87,0,0,0,0,0,0,0,0,0,23.02,0,0,30.34,0,4.76,0,0,0,0,0
 14-21,0,0,0.93,0.83,0,0.85,0,0,0,0,0,1.8,0,7.62,0,0,0.93,1.97,2.25,0,1.02,3.4,0,0
 24-34,0,0,0.64,0,0,3.53,0,0,0,0,0.75,0,1.36,10.37,0,0.68,0,0.71,0,0,0,0.98,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.39,0,6.02,0,0,0,5,0,0,0,0.91,0,0.68
 48-58,0,0,0,0,0,0.73,0,0,0,0,0,0,0,8.33,1.65,0,0,6.1,0,0,0,0.87,0,0
 60-70,0,0,0,0,0,5.76,0,0,0,0,0,0,0,7.38,0,0,0,0.66,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.81,0,1.44,0,0,0,0,0,11.45,0,0,0,0.79,0,0,0,0,0,0
 84-94,0,0,0.92,0,0,5.22,0,0,0,0,0,5.2,0,3.1,0,0,0,2.45,0,1.17,0,0,0,0
 96-106,0,0,2.29,2.96,0.72,3.62,0,0,0,0,0,0,0,8.66,0,0,0,7.87,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.73,0,1.37,0,0,0,0,1.98,0,0,0,3.08,0,0,0,0,0.43,0
120,0,0,0,0,0,0,0,0,0,1.61,0,0,0,13.48,0,0,0,1.77,0,0,0,0,0,0
