stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.74,422.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  5-6,19.66,506.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.15,0,16.45,0,0,0,8.47,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,131.81,0,0,0,39.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,16.4,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,139.81,0,0,0,11.16,10.4,0,4.13,0,5.96,0,0,0,0,0,0
 14-21,0,0,0,0,617.22,0.9,0,0.84,0,2.15,0,1.38,2.96,1.19,0,11.59,6.7,0,2.09,0,0,4.74,0,0,17.02,0,0,0,0,42.24,1.25,0,0,1.65,1.66,0,0,1.1,0,0
 24-34,0,0,0,4.93,1268.1,0,0,9.68,0,77.33,0,1.07,1.02,20.4,0,16.87,0,1.89,0.65,0.62,8.41,18.63,0,1.06,79.42,1.02,4.87,0,0,69.39,0,6.95,0,0,1.64,0,0,8.72,0,0
 36-46,0,0,0,0,997.15,0,0,7.49,0,95.79,0,1.13,1.2,8.67,0,12.34,25.92,1.56,0,0,0.69,20.01,0,1.05,39.9,3.26,17.65,0,0,68.46,0,0.72,0,0,5.17,0,0,1.16,0,0
 48-58,0,0,0,0,843,0,0,14.06,0,108.55,0.78,2.52,0.49,51.07,0.53,9.17,0,1.24,2.86,0,6.2,12.38,1.14,0,50.38,0,2.43,1.22,0,27.82,0,1.63,1.71,0,12.79,0,0,0.76,0,15.28
 60-70,0,0,0,0,1074.12,0,0,12.55,1.01,134.64,1.54,3.1,14.73,28.01,0.79,3.12,0,1.54,0,0,4.12,18.94,0,0,29.51,0,7.06,0,0,39.96,0,3.12,0,0,13.38,3.49,0,0,0.99,9.66
 72-82,0,0,1.12,0,1017.35,0.52,0,32.98,0,104.03,5.1,9.82,29.84,20.67,4.68,6.39,0.82,7.51,0,0,9.22,19.75,0,0,75.52,0,8.17,5.08,0,46.5,0,0,0,0,0,17.57,0,8.45,4.65,9.07
 84-94,0,0,0.8,0,2049.4,0,0,28.72,0,174.99,1.27,1.63,66.05,49.79,5.62,23.61,4.51,2.18,1.62,0,5.06,33.51,0.93,0,48.62,0,6.97,1.14,0,64.26,0,0.7,0,0,0,74.51,0,1.55,1.95,0
 96-106,0,0,1.56,0,2276.3,14.42,1,53.45,0,160.25,13.36,2.58,138.01,4.76,12.05,18.77,0,6.02,17.21,0,20.96,43.84,2.31,3.95,70.95,0,17.93,0.84,0,65.09,0,1.62,0,0,0,83.23,0,0.65,0,0.86
108-118,0,0,3.66,1.64,2466.58,0.99,1.08,14.5,0,187.32,0,0.64,185.72,0,10.62,23.81,1.62,3.69,2.22,0,20.18,47.07,2.49,0.57,55.2,0,17.07,6.61,0,54.07,0,1.83,0,0,0,119.42,0.53,4.08,0.71,3.32
120,0,0,4.32,0,2109.68,0,0,41.97,12.02,114.12,13.81,9.27,106.08,0,0,11,2.6,6.04,3.42,0,41.96,31.31,0,3.15,76.82,0,9.66,0,0,64.38,0,0,1.21,0,0,38.99,0,11.05,0,0
