stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,4.03,0,0,0,0,0,0,0,25.07,0,14.07,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,31.59,0,24.73,0,0,0,0,0
 14-21,9.16,1.63,1.21,0,0,3.32,0,0,0,0,3.21,0,1.12,0,1.86,3.79,2.09,0
 24-34,0.6,0,0.78,0,0,0,0,2.54,0,0.72,24.48,0,0,8.86,0,0,4.34,0
 36-46,0,0,0,2.11,0,0,0,3.96,1.13,0.84,13.06,0,0,0,0,0,3.68,0
 48-58,1.64,0,0,0,0,0,0,2.18,0,0,7.71,0.39,0,0,0,0,3.75,0
 60-70,0,0,9.57,0.69,0,0,0,1.98,0,0,25.65,0,0,0,0,0,1.88,0
 72-82,0,0,4.41,2.18,0,0,0,1.89,0,0.8,14.95,0,0,0,0,0,11.83,0
 84-94,0,0,1.23,0,0,0,0,4.35,0,0,9.66,0,0,1.39,0,0,2.54,0
 96-106,2.74,0,0.79,0,0,0,0.61,2.94,0,2.51,9.13,0,0,1.68,0,0,0,0
108-118,0,0,0,0.62,0.43,0,0,4.2,0,0,22.39,0,0,1.05,0,0,1.8,0
120,0,0,3.03,0,0,0,0,7.33,0,0,14.24,0,0,0,0,0,0,5.05
