stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,11.6,419.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0
  5-6,14.35,177.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.72,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0
  7-9,0,5.65,0,0,0,7.15,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,75.42,0,0,0,8.34,0,26.16,5.11,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.51,0,0,0,14.54,0,37.07,9.99,0,0,0,0,0,0,0
 14-21,0,0,0,4.63,2.35,1.94,0,0,0,0,0,0,0,0,2.93,0,0,0,3.67,0,1.2,19.5,0,0,0,0,0,215.73,0,0.95,0,0.91,8.2,0,0,0
 24-34,0,0,1.41,8.19,0,3.79,0,0,0,0,0.63,0.76,0,0,26.08,0,4.93,8.12,6.99,3.11,0,75.3,0.67,22.74,1.43,0,0,858.14,0,0,1.61,0.64,10.49,0,10.5,0
 36-46,0,0,0,12.25,1.05,6.01,0,3.48,0,1.3,1.82,0,0,0,30.84,0,3.23,0,7.18,4.5,1.32,113.42,0,23.09,0,0,0,923.16,0,0,0,1.14,16.02,0,0,2.36
 48-58,0,0,0,14.85,0.85,9.52,0.58,0,0,4.51,5.1,0,0,4.19,12.93,0,2.96,0,2.62,2.92,3.83,104.33,0,4.71,0.46,0,0,381.01,0,0,0.74,0,12.04,0,0,4.02
 60-70,0,0,0,33.06,1.27,25.18,0,8.69,0,6.05,0,0,0,0,14.98,0,2.2,0,4.02,1.31,0,196.95,0,14.28,0.83,0,0,351.31,0,0,0.68,0,37.22,0,0,0
 72-82,0,0,0,30.17,1.9,20.86,0,0.96,0,3.14,4.04,0,0,0.61,26.14,0,2.33,0,6.95,0.79,0,194.07,0,4.22,0.91,0,0,178.96,0,0,0,0,22.03,0.52,0,5.96
 84-94,0,0,0,37.03,1.88,15.06,0,3.18,0,4.75,2.65,0,0,1.57,35.35,0,0.77,0.6,3.69,8.99,0.68,159.64,0,14.67,0.83,0,0,428.07,0,0,0.67,0,28.09,0.57,1.82,0
 96-106,0,0,0,82.94,4.17,15.06,0,1.95,0,9.66,9.47,0,0,0.58,60.8,3.52,3.74,0,11.04,4.15,1.34,113.66,0,25.08,0.57,0,1.44,330.76,0,0,0,0,12.71,4.38,1.18,0
108-118,0,0,0,60.3,10.57,33.63,0,3.57,0,4.95,6.56,0,0.69,5.07,53.93,0,2.49,0,2.49,3.04,1.5,131.57,0,17.8,0.88,0,0,284.34,0,0,0,0,2.4,8.23,2.34,1.09
120,0,0,0,116.3,11.8,12.85,1.99,1.75,2.8,13.31,1.29,0,0,10.55,59.88,0,1.08,0,4.31,7.58,2.3,325.73,0,30.15,0,0,0,203.16,0,0,0,0,13.24,2.39,0,0
