stage,blastomeres,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,19.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.74,0,0,0,0,0,0,4.96,4.08,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,35.11,0,0,0,0,0
 14-21,0,8.3,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0
 24-34,0,1.4,0,0,0,0,14.04,0,0,0,3.64,0,0,0,2.78,16.72
 36-46,0,0,0,1.3,0,1.58,13.67,0,0,1.74,2.84,0,0,0,0,0
 48-58,0,0,0,2.94,0,0,20.66,0.45,0,0,5.1,0,0,0,3.45,0
 60-70,0,0,0,9.41,0,0,45.34,0,0,0,6.41,0,0,0,0,2.12
 72-82,0,0,0,6.31,2.2,0,33.46,3.13,0,0,15.99,0,0,0,0,0.49
 84-94,0,0,0,5.38,0,0,61.51,1.13,0,0,5.71,0,0,0,0,2.16
 96-106,0,0,0,6.43,0,0,62.75,0,0,0,9.28,0,2.76,0,0,2.51
108-118,0,0,0.46,0,0,0,64.28,0,0.46,0,8.97,0,0,0,0,7.51
120,0,0,0,0,0,0,96.51,0,0,0,3.98,0,0,4.05,0,0
