stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,otic,periderm,spinal_cord,taste
  3-4,33.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.53,0,0,0,0
 10-12,0,0,0,0,0,0,0,46.78,0,0,0,0
 24-34,0,0,0,0,0,1.62,0,3.38,0,0,1.93,0
 36-46,0,0.73,0,0,0,0.58,0,9.4,0,0,0,0
 48-58,0,1.39,0,0,0,0,0,0.52,0,0,0,0
 60-70,0,3.32,1.45,0,0,0,0,0.59,0,0,0,0
 72-82,0,2.7,0.84,0.61,0.5,1.49,0,0.5,0,0,0,0
 84-94,0,0.59,7.15,0,0,2.41,0,0,2.03,0,0,0
 96-106,0,0,9,0,0,5.11,0.92,1.23,0,0,0,0.61
108-118,0,2.23,3.44,0,0,0,0,0,0,1.44,0,0
