stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,407.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.13,278.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.5,5.5,0,7.13,0,0,20.44,0,0,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,220.81,3.95,0,0,100.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.72,0,0,53.76,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,292.1,0,0,0,73.91,0,0,0,14.68,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,9.26,7.49,11.23,0,0,0,1.72,0,0,0,0,0.89,0,0,0,12.87,0,0,5.88,132.13,0.94,0,0.83,20.02,0,0,14.74,1.77,19.57,51.3,0,0,4.24,0,0
 24-34,0,0,0,0,4.23,0.84,22.83,0,0.7,0,5.8,1,0,0,0,0,0.8,0,0,20.32,0,0,6.38,331.47,1.4,6.48,2.71,0,0,0,0,0.6,1.99,64.01,0,0,0.96,0,0
 36-46,0,0,0,0,0.86,0,52.05,0,0,0,27,0,0,0,0,0,0,0,0,18.62,0,0.63,3.35,345.48,1.44,0,0,0,0,1.58,0,0,0,80.95,0,0,0,0,0
 48-58,0,0,0,0,3.43,0,72.78,0.67,0,0,24.6,0,0,0.44,0,0,0,0,0,17.85,0,1.76,4.61,160.95,0.41,1.5,1.24,0,0,0.7,0,0,0,35.12,0,0,0.66,0,3.5
 60-70,0,0,0,0,4.24,0,76.5,2.26,0,0.62,12.49,0.63,0,0,0,5.42,0,0,0,10.03,0,1.78,1.02,178.43,0,2.34,0,0,0,0.62,0,0,0,24.8,0,0,1.59,0,0.97
 72-82,0,0,0,0,2,0.59,56.82,0,0,0,11.57,0,0,0,0,0,0,0,0,19.82,0,0,7.82,103.72,0,2.77,0,0,0,0.58,0,0,0,28.34,0.71,0,0.85,0.54,0
 84-94,0,0,0,0,7.38,0,60,0,0,2.29,5.88,0,0,1.4,0.67,0,0,0.73,0,28.6,1.51,0,4.89,87.79,0,0.66,1.43,0,3.75,11.08,0,0,0,11.76,0,1.11,2.24,0,0
 96-106,0,0,0,0,2.66,1.86,22.62,0,0,0,8,0.66,0,1.99,0,0.81,0,0,0,18.16,0,4.11,1.52,54.67,0,0,0,0,0,7.13,0,0,0,0,0,0,5.04,0,0
108-118,0,0,0,0,4.75,0,31.19,0.91,0,1.75,15.77,0.41,0,2.35,3.31,0.67,2.81,0,1.13,13.56,1.38,0,1.72,95.8,0,2.04,0,0,0,1.06,0,0,0,13.82,2.63,0,1.4,2.72,0
120,0,0,0,0,6.25,0,52.09,7.87,0,0,24.47,2.55,0,0,1.12,0,0,0,0,6.32,0,0,0,71.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
