stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,71.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.45,0,0,0,0,0,0,0,0
  5-6,105.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,74.65,0,0,31.21,0,5.28,0,0,0,0,0,0,0
 10-12,0,0,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.86,0,0,51.65,0,0,0,13.97,0,0,0,0,0
 14-21,0,1.23,1.27,2.87,1.88,0,0.93,0,0,0,0,0,0.81,0,0,4.38,0,4.15,16.4,1.55,0,0.83,0,0,4.19,3.67,1.84,6.67,0,0,0
 24-34,0,0,0.59,1.47,0,0,16.1,0,1.67,0.66,0,0,0,0,0,1.7,0,2.28,123.82,3.96,0.82,0,0,0,0,0,0.84,45.73,0,0,0
 36-46,0,0,0,11.45,0,0,12.31,0,3.48,0,1.05,0,0,0,0,2.64,0,1.48,227.77,4.37,0,0,0,0,0,2.71,0,59.53,0,0,2.52
 48-58,0,0,0,1.59,0,0,50.95,0,11.97,0,0,0,0,0,1.54,5.15,0,0.98,300.06,2.66,0,0,0,0,0,0,0,52.37,0,0,1.14
 60-70,0,1.92,0,9.8,0,0,92.08,0,8.66,0,0,0,0,0,1.06,13.96,0,0,322,3,0,0,0,0,0,1.17,0,44.15,0,0,0
 72-82,0,0.56,0,0,0,0,182.38,0.77,7.82,0.86,0,0,0,0,0,6.43,0,0.68,330.74,0,0,0,0,0,0,0,0,17.61,0,0,0
 84-94,0,1.05,0,0,6.23,0,161.73,0,13.29,0.97,0,0,0,0.73,0.82,4.99,0.93,0,234.78,6.35,0,0,0,0,0,0.64,0,33.74,0,1.68,0.89
 96-106,0,0,0,2.16,5.59,0,232.74,0,6.66,2.08,0,0.91,0,0,0,5.12,0,0,177.59,7.3,1.43,0,5.34,0,0,0,0,16.32,0.82,0.61,0
108-118,0,0.71,0,5.35,0,0.71,200.57,0,15.2,2.66,0,0.42,0,0,0,2.47,2.61,0,179.19,4.38,0,0,2.34,0,0,0,0,5.66,0.54,0,0
120,0,0,0,3.66,0,0,125.04,0,22.76,7.81,1.15,0,0,0,0,11.85,0,0,295.42,1.48,1.73,0,0,0,0,5.95,0,36.44,0,0,0
