stage,epidermis,eye,gut,immune,lateral_line,mesenchyme,neural,periderm
 36-46,0,1.04,0,15.29,0,0,2.56,0
 48-58,0,0,0,0,0,0,0.46,0
 60-70,0,0,0,3.45,0,0.59,0,0.9
 72-82,0,0,0,2.25,0.95,0,0,0
 84-94,0,0,0,0.59,0,0,0,0
 96-106,0,0,0,1.45,0,0,0.56,0
108-118,1.02,0,0.8,8.5,0,0,0,0
120,0,0,0,22.88,0,0,5.7,0
