stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,122.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.02,6,0,0,0,0,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.11,0,0,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.27,9.41,0,0,22.49,0,0,0,5.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,1.65,0.96,3.28,0,0,0,2.95,0,0,0,0,0,0,0,0,5.79,0,0,2.18,48.44,6.07,0,5.69,0.97,3.53,0,3.2,0,0,2.57,25.96,0,0,1.97,0,0
 24-34,0,0,1.1,0,3.74,0,14.98,0,0.69,0,0.77,0,0,0,0,0,0,0,0,11.43,0.61,0,2.21,221.59,1.62,5.72,0,0,10.3,0,0,0,0,0.61,70.7,0,0,1.77,0,0.6
 36-46,0,0,0,0,0.66,0,29.04,0.61,0,0,9.43,0,0,0.88,0,0,0,0.65,0,9.85,0,0,4.65,341.81,1.86,4.22,0.61,0,10.87,0.74,0,0,0,0,70.96,0,0,2.21,0,0
 48-58,0,0,0,0,1,0.85,90.27,0,0,0.41,7.25,0,0,0,0,0,0,0,0,19.35,0,0,2.5,342.99,0.51,0.92,1.22,0,3.96,0,0,0,0,0,79.87,0,0.64,0,0,0
 60-70,0,0,1.22,0,3.08,0,194.65,0,4.31,0,25.02,0,0,0,0,0.58,0,0,1.76,15,0,0.78,4.03,401.51,0,3.18,0,0,11.2,0,0,0,0,0,72.83,0,0,0,0,12.69
 72-82,0,0,0.68,0,1.2,17.99,149.33,0,0,0,16.94,1.26,0.6,0.74,0,0,0,0,3.31,12.46,0.88,1.93,3.95,352.4,0.52,4.08,2.37,0,4.93,0,0,0.55,0,0,72.95,0,2.85,0.56,0.59,0.89
 84-94,0,0,0,0,9.15,48.17,125.71,0,4.13,0,14.07,4.26,0.6,1.02,0.71,0,0,0,0,33.4,1.18,9.74,0.7,205,0,0,3.21,0,11.73,0,0,1.35,0,0,45.1,0,0,0.62,0,2.9
 96-106,0,0,0,0,10.92,68.27,102.8,0,0,0,9.68,4.11,0,0,3.44,0,1,0,0,23.39,3.31,1.76,0,213.86,0,0,2.8,0,21.61,0,0,0,0,0,16.51,0,0,2.82,0,0
108-118,0,0,0,0,3.16,9.88,94.95,0,0.47,0,9.11,3.86,0,0,2.69,0,2.14,0.41,2.29,24.97,0.87,0,0.77,260.06,0,3.7,1.97,0,18.82,0,0,0,0,0,17.47,5.7,3.8,7.33,1.11,1.8
120,0,0,1.37,0,4.87,16.6,58.8,18.76,0,0,23.6,3.27,0,0,0,8.38,0,0,0,43.37,0,0,0,274.09,0,0,12.12,0,6.28,0,0,2.39,1.21,0,18.82,0,0,3.23,17.06,0
