stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,62.89,816.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.94,0,0,0,0,0,0,0,0,0
  5-6,0,324.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,25.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.96,0,28.29,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,114.13,14.13,0,0,52.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.79,0,49.4,0,0,0,24.46,0,0,0,0,16.44,0,0,0,0,0,0,0,0,0,0,584.54,3.14,0,0,85.31,0,4.05,15.16,0,3.9,0,0,0,0,0,0
 14-21,0,0,0,0,13.51,2.7,0,6.18,1.17,0,14.56,1.64,0,0.85,0,1.71,0,0,0,0,9.49,0,10.82,148.81,1,6.54,1.76,3.96,0,0,1.12,24.19,1.88,7.18,64.28,0,0,0,0
 24-34,0,0,1.26,0,11.08,0,0,17.4,1.86,0,9.86,1.16,0,0.76,0,0,0,0,0,0,23.72,0,4.94,273.57,0.75,20.52,6.35,0,0,0.59,0,0,2.27,1.95,71.06,0,0,4.1,0
 36-46,0,0,0,0,4.91,0,0,55.96,0,1.19,12.51,0.95,0,1.27,0,0,0,0.94,0,0,24.04,1.8,5.02,330.96,2.89,12.67,1.38,0,0,0,0,0,1.34,0,69.39,0,0,1.81,0
 48-58,0,0,0.44,0,2.55,0,0,91.23,0,2.37,27.65,0,1.64,0,0,0,0,0.92,0,0,42.01,2.03,8.65,339.47,0,9.24,0.39,0,0,0,0,0,0.49,0,56.12,0,0,0.75,0
 60-70,0,0,0,0,7.92,0,0,186.52,4.3,0,20.67,0,0,1.5,0,0,0,0,0,0,80.15,7.4,4.22,288.77,7.37,7.96,3.55,0,0.63,0,0,0,1.06,0,24.77,0,1.06,2.63,0
 72-82,0,0,1.43,0,4.94,0,0,97.42,2.09,2.36,14.97,1.89,0,0.86,0,0,0,0.64,0,1.8,61.45,1.35,3.51,200.42,0,13.3,2.63,0,0,2.63,0,0,0,0,11.83,0,0,1.8,4.96
 84-94,0,0,0,0,4.32,0,0,81.62,0,0,26.22,12.79,0.76,0,1.27,0,3.25,1.62,0,0,46.69,2.24,4.72,168.99,0,6.91,0,0,0,0.56,0,0,0,0,10.77,0,1.91,0,2.23
 96-106,0,0,2.53,0,4.8,0.68,0,70.86,1.97,0,18.74,9.05,0,0,0.68,0.81,1.36,0,0,0,50.27,0,5.27,133.9,2.63,11.04,6.7,0,0,4.52,0,0,0,0,9.7,0,0,5.58,1.93
108-118,0,0,0,0,7.12,2.12,0.82,47.22,0.47,0.45,24.43,5.24,0,0,0,1.51,0,1.63,1.83,0,69.97,0,5.83,189,0,3.45,7.29,0,0,5.77,0,0,1.69,0,6.9,2.64,2.26,3.61,0.87
120,0,0,0,0,7.02,0,0,71,4.41,0,16.74,0,0,2.63,0,0,0,0,0,0,41.65,0,1.01,220.06,0,3.8,0,0,0,3.26,0,0,1.22,0,1.95,0,1.46,1.14,1.43
