stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,5,0,0,1.22,0,9.17,1.51,0,0,0
 24-34,0,0,2.11,0,0,0,0.95,0,0,0,0,0,0,0,10.37,0,0,8.68,0,51.9,1.58,0,0,0
 36-46,0,0,0,0,0,0,5.66,0,0,0,2.67,0,0,0,1.07,0.58,0,2.06,0,53.86,0,0,0,0
 48-58,0,0,0.4,0,0,0,6.06,0,0,0,2.85,0,0,0,1.49,0,0,0.94,0,13.43,0,0,0.64,4.2
 60-70,0,0,0,0,0,0,11.3,0,0,0.7,8.42,0,0,0,6,0.8,0,3.11,0,24.45,0,0,0,0
 72-82,0,0.68,0,0,1.56,0,28.99,0,0,1.89,13.84,0.68,0,1.65,25.5,3.5,0,16.92,0,59.62,3.82,0,0,0
 84-94,0,2.34,0,0,9.76,0,48.26,0,2.9,0,35.55,0,0,0,70.42,0,0,4.3,4.28,115.31,0,0,4.14,0
 96-106,0,0.81,0,7.78,0,0,66.75,0,0,0,26.87,0,0.82,0,109.24,4.93,0.79,35.31,2.15,97.89,4.81,1.26,0,0
108-118,0,5.43,0,2.27,0,0.47,118.27,1.47,0,0.41,34.2,0,0.93,2.65,170.06,2.83,1.14,17.12,3.38,98.29,0,0,0,0
120,0,3.01,0,0,0,0,68.41,0,0,0,27.09,0,0,0,83.56,1.5,0,29.06,0,90.97,0,0,0,0
