stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,0,27.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,30.22,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.38,0,5.18,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.98,4.14,0,0,18.93,0,0,0,8.35,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.52,4.23,0,3.95,0,0,3.95,1.38,0,0,0,0,0,0,0,4.42,0,0,2.75,107.65,1.96,0,0,0.81,0,0,12.23,0.87,26.21,25.94,0,0,3.88,0,0
 24-34,0,0,0,0.82,9.57,0,0,13.42,3.1,1.91,8.3,0,1.15,0.67,0,0,0,0,0.67,11.11,0,0,4.31,214.1,0.74,0,0,0,0,3.4,0,0,5.22,23.63,0,0,3.16,0,0
 36-46,0,0,0,0,11.04,0,0,4,1.19,2.24,17.47,0,0,0,0,0,0,0,0,19.16,0,0,6.01,97.15,0.66,0,0,0,0,1.22,0,0,0,34.87,0,0,3.18,0,0
 48-58,0,0,0,0,8.77,0,0,3.42,2.9,2.8,13.19,0,0.75,0,0,0,0,4.36,0,29.93,0,0,4.97,46.61,0.47,0,0,0,0,2.51,0,0,0,11.68,0,0,0,0,3.82
 60-70,0,0,0,0,11.71,0,0,2.14,1.12,2.83,5.87,0,0,0,0,1.02,0,0,0,18.81,0,0.69,0,4.8,0,0,0.63,0,0,0,0,0,0,6.56,0.61,0,4.9,0,0.77
 72-82,0,0,0.69,0,8.18,0,0.76,9.14,1.99,6.31,7.6,0.97,0,0,0,0,0.64,0,0,9.56,2.01,2.64,0.49,6.43,0,0,1.04,0,0,2.85,0,0,0,4.13,0,0,1.6,1.51,0
 84-94,0,0,0,0,7.31,0.86,0,10.74,7.28,2.5,5.53,0,0,0.88,0,0,0.83,0,0,7.39,1.71,0,2.25,4.11,0,0,2.76,0,0,7.28,0,0,0,2.04,0,0,8.55,0,0.69
 96-106,0,0,0,0,1.65,0,0,1.42,0.61,3.18,12.09,2.76,0,1.03,0,0,0.9,0,0,20.95,1.61,0,1.02,4.18,0,0.63,1.94,0,2.97,1.84,0,0,0,0,0,2.52,6.36,4.24,9.96
108-118,0,0,0,0,5.34,0,0,6.68,0.46,5.32,11.15,0,0,0,0.47,1.88,0,0,0,12.9,0,0,1.87,1.82,0.53,0,0.94,0,0,1,0,0,0,0,0.93,0,7.73,0.63,0.89
120,0,0,0,0,18.53,0,0,7.82,0,0,37.89,3.22,0,0,0,0,0,0,0,13.07,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
