stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,22.39,0,0,0,0.97,0,0,31.8,0,0,19.74,0,0,0,0,0
 24-34,0,2.68,0,2.09,0,0,84.67,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,1.07,84.06,0,24.3,4.36,0,0,0.87,209.4,0,0,34.74,0,0,1.77,0,0
 36-46,0,0,0,0.66,0,0,59.12,4.42,0,0,3.99,0,0,0,0,0,0,0,1.59,0,0,0.68,125.75,0,18.35,1.46,0,0,0,118.12,0,2.29,59.75,0,0,0.98,0,0
 48-58,0,0.42,0,0.45,0.4,0,99.26,0,0,0,1.36,0,0,0,0,0.48,6.87,0,0,0,0,2.71,123.59,0,18.13,2.92,0,0,0,110.1,0,0,35.4,0,0,0,0,4.1
 60-70,0,0.95,0,0,0,0,442.32,0,0,0,32.06,0,0,0,0,0,0,0,1.06,0,0,0,232.99,0,16.19,3.53,0,0,0,192.01,2.94,0,37.21,0,0,0,0,0
 72-82,0,0.62,0,6.81,8.04,0,1079.35,0,0,0.51,79.87,3.9,0,2.68,0,0.56,3.11,1.88,15.08,0,0,0,378.7,0,13.86,16.72,0,0,1.04,434.16,0,0,28.22,0.91,0,4.16,0,1.14
 84-94,0,2.22,0,3.37,0,0,1082.98,0,0,2.18,60.47,1.66,0,0,5.32,1.18,15.57,0.73,3.82,3.24,0,1.77,230.12,2.69,21.07,27.27,0,0,1.04,725.31,0,0,29.41,0,0,0,0,0
 96-106,0,0,0,5.43,17.9,0,1224.35,0,1.55,1.12,126.13,11.81,0,0,2.73,2,7.69,0,21.63,0,1.34,0,280.4,0,41.94,41.47,0,0,9.07,875.31,0,0,33.31,0.8,0,1.24,0,6.41
108-118,0,1.29,0,15.7,10.95,0.72,990.36,0,0,0,134.24,12.64,1.62,0,0.43,6.95,0,0,16.78,0,2.35,0,512.7,0,15.33,30.58,0,1.05,4.74,786.96,0,0,15.4,1.7,0.64,0,0,0
120,0,8.73,3.17,4.84,1.64,0,692.49,1.99,0,0,179.87,25.37,0,0,0,1.07,0,0,26.99,0,3.7,0,655.73,0,16.13,28.34,0,0,3.81,440.27,0,0,7.6,2.31,19.72,0,3.69,0
