stage,axial,blastomeres,erythrocytes,eye,glial,immune,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,18.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,7.97,0,9,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.65,0,9.71,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.9,0,2.05,0,0,0.61,0,0
 36-46,0,0,0,0.57,0,0,1.06,0,11.34,0,0,1.12,1.04,1.02
 48-58,0,0,0,0.73,0,0,2.77,0,0,0,0,0.41,0,0
 60-70,0,0,0,0,0.94,0,7.41,0,0,0,0,0,0,0
 72-82,0,0,0,4.29,0,0,1.67,0.88,1.99,1.19,0,0,0,0
 84-94,0,0,0,5.7,0.91,0,0,0,2.67,0,0,0,0,0
 96-106,0,0,0,6.62,0,0.57,0,0,10.8,0,0,0,0,0
108-118,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0
120,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0
