stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,70.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0
  5-6,93.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67,0,0,0,0,0,0,0,0,0,0
  7-9,4.63,0,0,0,31.97,0,0,0,0,0,0,0,0,0,0,0,158.55,6.75,0,0,40.23,0,0,0,0,0,0,0
 10-12,4.32,21.67,0,0,68.53,0,0,0,0,0,0,0,0,0,0,0,149.92,8.38,0,0,47.01,0,0,0,0,0,0,0
 14-21,0,0,9.94,0,2.07,0,0.97,1.21,0,0,0,0,0,1.1,0,3.26,36.4,1.57,0,1.89,0,0,0,8.98,4.13,11.21,0,0
 24-34,0,0,0.73,0,3.73,0,2.21,1.02,0,0,0.62,0,11.3,4.93,0,6.14,19.18,0,0,0,0,0,0,0.76,1.63,11.65,0,0.61
 36-46,0,0,1.04,0,0,0.58,2.01,0,0,13.72,0,0,0.83,2.84,0,2.18,3.5,0,0,0,0,0,2.18,0,0,0,0,0.56
 48-58,0,0,0,0,3.82,0,0.74,0,0,0,0,0.51,2.39,2.86,0,1.23,4.71,0,0,0,0,0,0,0,0,8.2,0,1.11
 60-70,0,0,0,0,1.89,0,1.48,0,0,0,0,0,0,7.23,0,0,6.69,0,0,0,0,0,0,0,0,2.14,0,0
 72-82,0,0,0,1.62,2.58,0.95,12.8,0,0,0,0,0,0,15.64,0.72,1.49,11.02,4.45,0,1.35,0,0,1.21,0,0,2.31,1.37,0
 84-94,0,0,0,8.61,9.31,0,5.92,0,0.64,0,0,0,0,9.17,0,2.32,10.05,0,1.7,0,0,0,0,0,0,1.41,0,0
 96-106,0,0,2.37,5.25,0,0.62,15.9,0,0,0,0,0,0,12.86,0.59,0.62,7.33,0,0.97,0.83,0,0,0,0,0,2.81,0,0
108-118,0,0,2.16,0.79,7.88,0.56,11.91,0,0,0,0,0,3.49,22.55,1.08,1.52,11.15,0,0,1,0,0,0,0,0,1.88,0,3.12
120,0,0,0,0,5.52,0,10.53,0,0,0,0,0,0,16.16,0,1.77,8.4,0,0,0,0,9.21,0,0,0,0,0,0
