stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.16,40.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,143.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.64,4.37,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.69,95.5,0,0,247.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.7,8.79,0,0,56.86,0,0,0,0,11.23,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,1.1,4.28,2.32,0,7.96,0,0,0,1.23,0,0,0,0,0,0,0,0,3.17,0,0,17.06,99.01,9.75,0,1.4,0.96,0,0,0,3.08,0,6.99,19.9,31.86,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,48.54,0,0.92,1.06,16.46,0,0,0.9,0,0,0,0,0,159.54,0,2.54,113.05,406.42,101.67,0,0.73,0,0,6.15,0,0,0,0,2.84,123.75,0,0,0,0,0
 36-46,0,0,0,0,7.66,0,0,81.05,0,1.4,0,77.63,0,0,1.6,0,0,7.74,0,0,584.19,0,33.51,86.17,443.66,58.41,0,1.4,0,1.55,1.9,0,0,0,8.73,0,201.05,0,0,3.27,0,0
 48-58,0,0,0,1.72,5.62,0,0,87.65,1.92,0,4.29,217.38,0,0,0,0,0,0,0.48,0,1218.01,0.4,51.17,75.73,306.3,40.85,0,1.08,0,3.2,0.97,0,0,0,2.32,0,224.61,0,2.05,0.96,0,10.19
 60-70,0,0,0,0.68,4.07,0,0,60.55,12.07,2.56,0.62,185.73,0,0,0,0,3.54,0,0,0,1893.01,0,33.6,58.44,153.17,13.67,0,4.59,0,2.42,0,0,0,0,2.51,0,94.61,0,20.68,1.82,11.48,0.94
 72-82,0,0,1.04,0,17.98,1.08,0,84.32,1.97,0.51,8.63,236.55,0,0.74,0,0.66,5.33,2.2,0,1.03,2903.86,0,56,51.61,190.59,16.55,0.7,2.08,0,0,3.84,0,0,0,6.01,0,68.76,0,29.67,0,51.16,13.67
 84-94,5.55,0,0,0,34.85,0,0,168.97,19.09,0,5.82,147.54,0,0,0,0.7,11.97,0,0,0,2676.33,0,57.86,73.31,64.17,40.98,0,13.25,0,3.48,4.75,0,0,0,4.89,0,34.54,0,68.65,4.44,83.24,0
 96-106,2.68,0,0,0,22.63,0,2.19,68.49,20.81,0,3.73,169.23,0.88,0,0.62,10.24,8.99,1.11,1.64,0,1751.21,0,12.41,47.17,169.62,127.94,0.97,10.79,0,0,9.75,3.82,0,0,2.17,0,16.04,0,45,0,98.79,0
108-118,0.5,0,0,0,16.32,6.21,0,50.53,17.19,2.15,14.82,195.77,4.72,0,0,0,5.55,0,2.25,0,1264,0,13.85,41.32,155.45,207.67,0,12.69,0,0,6.59,0,0,0,0.46,0,9.14,0.74,36.33,0,74.53,0
120,2.37,0,0,0,13.64,0,0,68.72,20.33,0,0,214.79,1.14,0,1.15,0,1.48,0,0,9.32,1260.92,0,13.3,48.84,173.21,249.98,0,16.93,0,2.54,7.68,0,0,0,2.45,0,34.83,0,12.54,0,98.41,0
