stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,121.13,2799.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.85,0,0,0,0,0
  5-6,28.27,985.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,8.78,0,0,0,0,0
  7-9,4.06,0,0,0,0,0,0,0,0,0,28.75,0,0,0,0,0,0,0,0,0,0,60.03,0,0,29.48,0,0,0,0,0,0
 10-12,0,0,15.98,0,0,15.58,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,634.07,0,0,0,0,20.08,0,0,0,0
 14-21,0,0,0,1398.1,2,0,2.34,0,0,0,0,0,0,3.58,0,2.95,0,9.1,1.8,0,0,30.55,0,0,0,2.66,1.38,2.15,0,0,0
 24-34,0,0,0,460.57,0,0.7,66.68,0,1.21,0,0,0,0,0,0,0,0,16,1.48,0,6.61,36.87,0,2.3,0,1.88,0,1.66,0,0,1.65
 36-46,0,0,0,95.43,0,0.76,75.59,1.09,0,0,0,0,0,0,0,0,0.79,57.1,0.58,0,1.15,17.35,0,0,0,4.64,1.95,1.38,0,0,0
 48-58,0,0,0,93.04,0,9.13,45.53,0,0,0,0,0.45,0,0,0.5,0,0,171.78,0,0,1.4,11.64,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,40.31,0,4.31,45.95,0,0,0,0,0,0,0,4.16,8.95,0,186.19,0,0,0.8,4.04,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,18.72,0,12.38,24.28,0,3.49,1.37,0,1.33,0.73,0,5.99,4.11,0,274.21,0,0,0,13.52,0,1.06,0,0,0,1.71,0,0.49,0
 84-94,0,0,0,34.16,0,3.67,38.23,0,0,0,0,0,0,0,2.22,0,0,221.52,0.57,0,0,1.04,0,1.68,0,1.11,0,3.45,1.06,0,0
 96-106,0,0,0,52.74,14.26,7.45,25.64,0,5.3,1.32,0,0.71,0,0,10.7,3.36,0,245.44,0,0,0.92,9.34,0,0,0,0.56,1.42,0,0,0,2.78
108-118,0,0,0,50.09,0,1.84,52.66,3.28,0.94,4.49,0,0.49,0,0,3.32,4.7,2.96,223.22,0,2.56,0,10.67,0,0,0,1.82,1.06,0,0,0,0
120,0,0,0,87.53,0,0,28.07,0,0,8.12,0,4.46,0,0,3.78,8.33,0,281.89,0,0,0,8.77,4.18,0,0,1.39,0,0,1.81,0,0
