stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,4.1,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,11.22,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0.56,0,0.61,22.85,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.77,0,0,0.56,0,1.64,2.32,0,0,0,0,12.31,0,1.57,0,1.05,1.87,0,0,0,0,0.92,0.39,0.51,0,0,0
 60-70,0,0.65,0,0,0,0,7.56,0,2.36,22.46,0,0,0,0,25.5,0,0,0,2.61,6.77,0,0,0,0,5.46,0.83,0,0,0,0
 72-82,0,4,0,0,0,1.81,2.86,19.45,2.02,83.58,0,0,2.65,5.19,43.41,0,7.47,0,1.96,25.08,0,0,1.13,0,2.95,0.49,4.95,0.97,0,0
 84-94,0,9.44,0.78,0.63,0,1.09,4.39,0.68,0,136.42,0,1.49,0,0,36.85,0,2.2,0,1.2,35.72,0.71,0,0,0,7.72,2.48,0,0,0.73,0
 96-106,0,4.01,0,1.38,8.1,3.77,8.9,0.73,3.69,209.39,1.68,0.72,0,0.66,23.39,0.65,11.2,0.98,5.82,42.73,0,0,0,0.76,3.82,4.52,0,0,0,2.56
108-118,0,4.02,0.49,0.73,2.65,13.21,9.19,0.75,0,164.81,0,0,0,0,45.66,0,4.08,0,8.68,41.7,0,1.31,0,0,8.74,0.98,0,0,1.81,0.73
120,0,0,0,0,10.07,0,1.86,3.95,0,122.01,0,0,0,0,41.84,0,2.28,0,4.14,39.48,0,0,0,0,3.22,1.52,0,0,7.48,0
