stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86,0,0,0,0,0,0,0
  5-6,42.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,8.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.83,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36,0,0,11.78,0,0,0,0,0,0,0,0,0
 14-21,0,5.02,0,0,5.55,0,0,0,0,1.29,1.14,0,0,0,0,0,125.53,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,20.36,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,211.69,0,0.83,0,0,0.77,22.03,0,0,0,0,0,1.75,0.64,2.85,0,0,0,0
 36-46,0,17.69,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,109.37,0,0.81,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,20.36,0,0,0,0,1.97,0,0,0,0.92,0,0,0,0,0,36.06,0,5.21,0,0,0,9.33,0,0,0,0.56,0,2.28,0,1.26,0,0,0,0
 60-70,0,4.31,0,4.23,0,0,23.53,0,0,0,13.34,0,0,0,0,0,18.78,0,1.4,0,0.63,0,16.23,0,0,0,0,0,1.78,0,0.96,0,0,0,0
 72-82,0,11.78,0,0.69,2.38,0,93.76,0,0.61,7.25,175.24,0.87,0.59,0.57,0,0,40.14,0.87,13.55,5.11,0,0.5,51.46,1.09,0.82,0,0,0,0.77,0,6.6,0.97,0,0,8.95
 84-94,0,8.92,0,3.54,0,0,73.86,0,0,12.4,302.4,0,0,0,0,0,15.01,0,17.58,0,0,0,65.39,0,0,0,0,2.69,6.46,0,0,0,2.84,0,0
 96-106,0,8.25,0,8.54,2.52,1.23,239.85,0.96,0,9.48,660.76,0,1.91,0.61,0.89,0.63,27.67,7.05,13.71,0,0,0.65,114.96,0,1.81,0,4.09,15.4,10.53,0,0,0.78,2.07,0,0
108-118,0,12.47,0,0.94,5.89,0,262.61,1.12,0,5.23,809.64,0,0.95,0.84,5.34,0,38.06,0,16.77,0,0,0.67,138.03,0,0,0,0,12.31,15.67,0,10.37,1.62,3.85,1.22,2.86
120,0,5.56,0,2.16,0,0,92.59,0,0,15.96,407.6,0,0,6.91,0,1.74,56.46,0,4.91,0,0,0,107.47,0,0,0,0,7.73,31.36,0,0,0,3.45,0,0
