stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,692.47,5904.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.06,0,0,0,0,0,0,0
  5-6,565.07,4899.51,9.08,0,0,0,0,0,15.05,0,0,0,0,0,0,1265.71,0,205,37.91,0,0,0,0,0,0,0
  7-9,0,68.2,155.24,0,0,10.28,0,0,35.45,0,0,0,0,0,0,330.5,22.75,1256.61,0,35.69,0,26.11,0,0,0,0
 10-12,0,88.09,96.82,0,7.8,0,0,0,0,0,0,0,0,0,0,3.26,4.69,131.85,0,9.77,0,313.85,0,0,0,0
 14-21,0,0,0,1.98,2511.94,0.83,0,0,0,2.99,3.76,0,0,13.65,2,17.5,0,2.35,1.53,0,8.4,14.83,2.79,2.75,0,21.93
 24-34,0,0,0,2.78,805.94,2.99,1.48,0,0,3.25,0,0,0,1.37,1.94,33.37,0.62,0,4.87,0,0,0,1.76,3.41,0,31.18
 36-46,0,0,0,0,39.78,2.61,0,0,0,0.72,0,0,6.28,0,0,13.07,0,0,0,0,0,0,0,2.51,0,3.1
 48-58,0,0,0,0,48.72,5.16,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0.64,0,9.34
 60-70,0,0,0,0,27.63,0.89,0,0.98,0,0,0,0,0,0.74,0,7.55,0,0,0,0,0,0,0,0,0,1.69
 72-82,0,0,0,0,114.6,7.13,0,0,0,1.47,0.8,0,0,1.51,0,11.09,0,0,0,0,0,0,0,0,0,3.69
 84-94,0,0,0,0,123.15,2.03,0,0,0,0,0,0,0,4.53,0,6.6,0,0,0,0,0,0,0,0,0,4.82
 96-106,0,0,0,1.11,242.87,7.7,0,6.2,0,1.33,0.88,0.87,2.18,6.88,0,16.7,0,0,0.73,0,0,0,0,0,1.03,3.59
108-118,0,0,0,2.51,173.87,3.9,0.5,0.78,0,0,2.1,0,0,5.03,0,8.52,0,0,0,0,0,0,0,0,0,5.94
120,0,0,0,0,162.97,0,0,0,0,0,1.06,0,0,21.83,0,3.23,0,0,0,0,0,0,0,0,0,3.24
