stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,88.13,465.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.68,327.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0
  7-9,30.9,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,40.18,48.46,0,0,37.67,0,0,0,0,0,0
 10-12,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6,0,0,0,9.23,0,0,0,0,0,0
 14-21,0,0,21.82,412.4,0,0,4.82,59.87,0,0,3.68,0,0,0.9,0,0,0,0,2.32,0,1.58,3.6,0,0,0,0,0,0,20.62,0,0,0
 24-34,0,0,5.25,236,0,0,0.92,568.47,0,0,2.18,0,0,4.39,0,0,0,1.94,0.83,0,0,12.64,0,2.33,0,0,0,6.14,5.47,0,0,0
 36-46,0,0,6.08,24.43,0,0,3.17,426.2,0,0,3.12,0,0,0,0,0,0,3.06,1.31,0,0,27.8,0,0,0,0,0,1.19,3.52,0,0,0
 48-58,0,0,8.66,23.25,0,0,1.96,324.36,1.48,2.55,12.21,0,0,8.21,0,0,0,2.96,1.76,0,0.82,16.19,0,0,0,0,0,0.42,5.03,0,0,0
 60-70,0.81,0,0,18.37,0,0,5.49,169.35,1.69,0.84,21.49,0,0,1.02,0,10.88,0,12.71,0,0,0.77,7.16,0,0,0,0,0,0,0,0,0,0.79
 72-82,0,0,0,5.37,0,0,7.08,69.6,0,6.45,25.92,0,0,0,0,0.82,0,50.76,0,0,0,25.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.18,1.22,6.81,83.14,0,2.38,37.4,0,0,0.95,0,0.57,5.92,44.11,0,0,0,4.09,0,0,0,0,0,0,0,0,3.11,0
 96-106,0,0,0,2.64,0.87,0,0.61,67.71,0,10.61,7.73,0,0.7,0,0,0.69,0,73.21,0,0,0,20.81,0,0,1.27,0,1.82,0,0,0,15.92,0
108-118,0,0,0,0,0,0,12.74,94.01,0.97,19.79,3.67,0,0,0.48,0,0,0.95,125.4,0,1.08,0,16.65,0,1.1,1.58,0,0,0,0,4.23,9.15,0
120,0,0,0,3.06,8.06,0,7.45,62.27,0,23.67,0,0,0,0,2.64,0,0,207.55,0,0,0,26.27,0,0,1.11,0,0,0,3.71,0,19.42,0
