stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,282.35,4008.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.91,0,0,0,0,0,0
  5-6,179.16,2919.91,0,0,0,0,0,0,0,0,0,0,0,57.55,8.9,0,18.33,51.28,0,0,0,0,0,0
  7-9,56.87,68.04,88.6,0,0,65.7,0,0,121.77,0,0,0,0,1449.52,82.67,0,398.49,4.34,16.4,0,0,0,0,0
 10-12,0,7.32,32.35,0,0,69.09,0,0,3.19,0,0,0,0,428.96,29.05,0,165.43,0,0,0,27.59,4.35,0,0
 14-21,0,0,0,7.15,1.98,5.46,2.41,1.11,0,1.35,1.47,1.36,4.14,50.5,0.89,1.61,1.78,3.82,0.91,15.45,1.08,7.33,21.31,0
 24-34,0,0,0.62,0,0,0.76,0.61,0.67,0,0,0,0,0,8.3,0,0,0,9.88,0,0,0,1.49,2.53,0
 36-46,0,0,0,0.89,0,0,0,0,0,0,0,0,0,5.02,0,0,0,4.01,0,0,0,0,0.94,0
 48-58,0,0,0,0,0,0.68,0,0,0,0,0,0,0,6.63,1.42,0,0,4.68,0,0,0,0,1.98,5.52
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,4.03,0,0,0,0,0,0,0,0.96,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.78,0,3.4,0,0,0,0.68,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.8,0,0,0,0,0,1.12,0,10.35,0,0,0,1.46,0,0,0,0,0,0
108-118,0,0,0,0,0,0.71,0,0,0,0,0,1.07,0,1.45,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,11.78,0,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0
