stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0.9,0,0,0,0
 24-34,0,0,0,0,0.67,0,0,0,2.53,0
 36-46,0,0,0,0,0,0,8.16,0,3.83,0
 48-58,0,1.08,0,0,5.01,0,5.81,0,2.41,0
 60-70,0,3.33,0,0,0,0,8.68,0,3.41,0
 72-82,0,0.82,0,0,0,0,16.45,0,2.24,0
 84-94,0,0,1.1,0,0,0,0,0,0,0
 96-106,2.17,0,0,0,0,0,0,0.97,0,0
108-118,0,0,0,1.27,0,0,0,0,0,0
120,0,0,0,0,0,0,5.27,0,0,11.55
