stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,0,0
 14-21,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,8.77,0,0,0,0,0,3.93,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,1.33,0,0,10.43,1.14,0,0,0,0,2.32,0,0
 36-46,0,0,6.6,0,0,0,0,0,0,0,1.36,0,0,4.37,2.07,0,0,9.02,0,0,0,0,3.2,3.68,0,0
 48-58,0,0,1.47,1.96,0,0,0,0,0,0,1.98,0,0,0.83,4.21,0,1.04,12.71,0,0,0,0,0,2.01,0,30.46
 60-70,0,0,3.19,0,0,0,0,0,0,0,6.89,0,0,0,1.55,0,0.68,11.69,0,0,0,0,0,1.15,0,55.15
 72-82,0,0,3.99,0,2.1,0,0,0,0,0,12.69,0,0,0,1.45,0,0,15.23,0,0,0,1.61,0,0,2.74,108.42
 84-94,1.05,0,2.64,0,0,0,2.44,0,3.28,0.56,15.39,0,0,0,0,0,0,9.74,0,0.88,0,0,0,0,0,172.66
 96-106,3.46,1.07,2.94,0,0,0.93,0,0.92,0,0,27.2,0,0.7,0,2.78,2.42,0,7.32,0,0,0,0,0.69,0,0,73.99
108-118,1.87,2.82,0.67,0.73,4.28,0,0,0,0,0,59.59,0,0.55,0.49,2.49,0,0.67,11.83,0,1.4,0,0,0.51,0,0,229.13
120,2.06,1.05,11.78,0,12.21,0,0,0,0,0,41.87,4.16,2.7,18.59,12.44,0,0,8.41,0,0,0,0,0,0,0,79.36
