stage,blastomeres,epidermis,eye,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,taste
  3-4,10.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.16,0,0,0,0,8.27,0,0,12.99,0,0
 10-12,0,0,0,0,0,0,0,19.3,0,0,9.77,0,0
 14-21,0,1.96,0,0,0,0,0,7.48,0,0,0,0.92,0
 24-34,0,0,1.7,0,0,0,0.87,11.98,0,0.73,0,9.47,0
 36-46,0,0,1.72,0,0,0,0,8.05,1.29,0,0,7.56,0
 48-58,0,0,0.71,0,0,0,0,1.97,0,0,0,0.47,0
 60-70,0,0,4.08,10.49,0,0,0,3.84,0,0,0,0,0
 72-82,0,0,9,0,0,0.61,0,3.91,0,0,0,0,0
 84-94,0,0,15.49,0,0,0,0,2.87,0,0,0,0,0.83
 96-106,0,0,8.78,0,1.73,0,1.05,8,0,0,0,0,0
108-118,0,0.88,2.72,0,0,0,1.47,13.23,0,0,0,2.78,0
120,0,0,0,0,0,0,0,12.44,0,0,0,8.23,0
